game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2022-10-07,NSH,SJS,-196,165,4,1,1,20222023,Nashville Predators lowest moneyline 2022-23,statmuse,0.6621621621621622,0.37735849056603776,0.6369879813588423,1.510204081632653,2.65
2022-10-08,SJS,NSH,149,-178,2,3,0,20222023,Nashville Predators lowest moneyline 2022-23,statmuse,0.40160642570281124,0.6402877697841727,0.3854579739885194,2.49,1.5617977528089888
2022-10-11,NYR,TBL,-126,106,3,1,1,20222023,Tampa Bay Lightning highest moneyline 2022-23,statmuse,0.5575221238938053,0.4854368932038835,0.5345580360820495,1.7936507936507935,2.06
2022-10-12,ANA,SEA,-115,-105,5,4,1,20222023,Anaheim Ducks lowest moneyline 2022-23,statmuse,0.5348837209302325,0.5121951219512195,0.5108342361863488,1.8695652173913042,1.9523809523809523
2022-10-12,CAR,CBJ,-284,231,4,1,1,20222023,Carolina Hurricanes lowest moneyline 2022-23,statmuse,0.7395833333333334,0.3021148036253776,0.7099785504969638,1.352112676056338,3.31
2022-10-12,COL,CHI,-418,323,5,2,1,20222023,Chicago Blackhawks highest moneyline 2022-23,statmuse,0.806949806949807,0.2364066193853428,0.7734172010463052,1.2392344497607655,4.23
2022-10-12,EDM,VAN,-194,160,5,3,1,20222023,Vancouver Canucks highest moneyline 2022-23,statmuse,0.6598639455782312,0.38461538461538464,0.6317635270541082,1.5154639175257731,2.6
2022-10-12,MTL,TOR,204,-253,4,3,1,20222023,Toronto Maple Leafs lowest moneyline 2022-23,statmuse,0.32894736842105265,0.71671388101983,0.31458311054076216,3.04,1.3952569169960474
2022-10-12,WSH,BOS,-143,120,2,5,0,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.588477366255144,0.45454545454545453,0.5642037302725968,1.6993006993006992,2.2
2022-10-13,CGY,COL,-137,115,5,3,1,20222023,Colorado Avalanche highest moneyline 2022-23,statmuse,0.5780590717299579,0.46511627906976744,0.5541341360173079,1.72992700729927,2.15
2022-10-13,LAK,SEA,-180,150,1,4,0,20222023,Los Angeles Kings lowest moneyline 2022-23,statmuse,0.6428571428571429,0.4,0.6164383561643836,1.5555555555555556,2.5
2022-10-13,MIN,NYR,-130,109,3,7,0,20222023,New York Rangers highest moneyline 2022-23,statmuse,0.5652173913043478,0.4784688995215311,0.5415587004185769,1.7692307692307692,2.09
2022-10-13,NSH,DAL,-134,113,1,4,0,20222023,Dallas Stars highest moneyline 2022-23,statmuse,0.5726495726495726,0.4694835680751174,0.5494975164606677,1.7462686567164178,2.13
2022-10-13,NYI,FLA,121,-144,1,3,0,20222023,New York Islanders highest moneyline 2022-23,statmuse,0.45248868778280543,0.5901639344262295,0.4339783722253842,2.21,1.6944444444444444
2022-10-13,PHI,NJD,105,-126,5,2,1,20222023,Philadelphia Flyers lowest moneyline 2022-23,statmuse,0.4878048780487805,0.5575221238938053,0.466652901094363,2.05,1.7936507936507935
2022-10-13,PIT,ARI,-397,312,6,2,1,20222023,Arizona Coyotes highest moneyline 2022-23,statmuse,0.7987927565392354,0.24271844660194175,0.7669555105409259,1.251889168765743,4.12
2022-10-13,TOR,WSH,-218,179,3,2,1,20222023,Washington Capitals highest moneyline 2022-23,statmuse,0.6855345911949685,0.35842293906810035,0.6566690419122887,1.4587155963302751,2.79
2022-10-13,VGK,CHI,-362,285,1,0,1,20222023,Chicago Blackhawks highest moneyline 2022-23,statmuse,0.7835497835497836,0.2597402597402597,0.7510373443983401,1.276243093922652,3.85
2022-10-14,CBJ,TBL,171,-205,2,5,0,20222023,Tampa Bay Lightning lowest moneyline 2022-23,statmuse,0.36900369003690037,0.6721311475409836,0.35442449596188486,2.71,1.4878048780487805
2022-10-14,DET,MTL,-167,140,3,0,1,20222023,Detroit Red Wings lowest moneyline 2022-23,statmuse,0.6254681647940075,0.4166666666666667,0.6001796945193171,1.5988023952095807,2.4
2022-10-14,WPG,NYR,-143,120,4,1,1,20222023,New York Rangers highest moneyline 2022-23,statmuse,0.588477366255144,0.45454545454545453,0.5642037302725968,1.6993006993006992,2.2
2022-10-15,BOS,ARI,-343,269,6,3,1,20222023,Arizona Coyotes highest moneyline 2022-23,statmuse,0.7742663656884876,0.27100271002710025,0.7407340211977738,1.2915451895043732,3.69
2022-10-15,BUF,FLA,160,-193,3,4,0,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.38461538461538464,0.658703071672355,0.36864620030196277,2.6,1.5181347150259068
2022-10-15,EDM,CGY,-136,115,3,4,0,20222023,Calgary Flames highest moneyline 2022-23,statmuse,0.576271186440678,0.46511627906976744,0.5533686601059804,1.7352941176470589,2.15
