game_date,away_team,home_team,away_score,home_score,bet_side,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after,skip_reason
2026-03-19,WPG,BOS,1,6,away,WPG,120.0,2.2,0.4942050758323111,0.43509272467902993,0.45454545454545453,0.03965962128685657,0.05911235115328117,0.5649072753209701,0.07270930569257038,0.03635465284628519,36.35465284628519,False,-36.35465284628519,963.6453471537149,
2026-03-19,NYR,CBJ,3,6,skip,,-219.0,1.45662100456621,0.7076260729799656,0.6577987556318386,0.6865203761755486,0.021105696804416985,0.049827317348126954,0.6577987556318386,0.0,0.0,0.0,,0.0,963.6453471537149,below_min_edge
2026-03-19,FLA,EDM,4,0,skip,,135.0,2.35,0.42897459873451127,0.40708923457936697,0.425531914893617,0.003442683840894245,0.021885364155144305,0.592910765420633,0.0,0.0,0.0,,0.0,963.6453471537149,below_min_edge
2026-03-19,PHI,LAK,4,3,skip,,,,,,,,,0.6313537996980373,0.0,0.0,0.0,,0.0,963.6453471537149,no_positive_kelly
2026-03-19,CHI,MIN,2,1,skip,,159.0,2.59,0.4275615958358966,0.36913341536298117,0.3861003861003861,0.041461209735510485,0.058428180472915425,0.6308665846370188,0.0,0.0,0.0,,0.0,963.6453471537149,below_min_model_prob
2026-03-19,SEA,NSH,1,3,skip,,,,,,,,,0.5195490681610843,0.0,0.0,0.0,,0.0,963.6453471537149,no_positive_kelly
2026-03-19,BUF,SJS,5,0,away,BUF,-145.0,1.6896551724137931,0.6624250883560058,0.5667167742505969,0.5918367346938775,0.07058835366212823,0.09570831410540892,0.43328322574940314,0.1729414664722142,0.05,48.182267357685745,True,33.22914990185224,996.8744970555671,
2026-03-19,TBL,VAN,6,2,skip,,269.0,3.69,0.3616104167109303,0.2587659123669266,0.27100271002710025,0.09060770668383006,0.10284450434400372,0.2587659123669266,0.0,0.0,0.0,,0.0,996.8744970555671,below_min_model_prob
2026-03-19,UTA,VGK,4,0,away,UTA,117.0,2.17,0.4934868275662152,0.4406091741777428,0.4608294930875576,0.032657334478657596,0.05287765338847239,0.5593908258222572,0.06056958616981788,0.03028479308490894,30.190137874950512,True,35.322461313692095,1032.1969583692592,
2026-03-20,FLA,CGY,1,4,skip,,-118.0,1.847457627118644,0.5593649801494611,0.5161610067229787,0.5412844036697247,0.018080576479736377,0.04320397342648241,0.5161610067229787,0.0,0.0,0.0,,0.0,1032.1969583692592,below_min_edge
2026-03-20,COL,CHI,4,1,skip,,266.0,3.66,0.32155115849087035,0.2617423878589953,0.273224043715847,0.04832711477502333,0.05980877063187506,0.2617423878589953,0.0,0.0,0.0,,0.0,1032.1969583692592,below_min_model_prob
2026-03-20,CAR,TOR,4,3,skip,,181.0,2.81,0.4449835939543125,0.3398221178050009,0.35587188612099646,0.08911170783331601,0.1051614761493116,0.3398221178050009,0.0,0.0,0.0,,0.0,1032.1969583692592,below_min_model_prob
2026-03-20,NJD,WSH,1,2,skip,,,,,,,,,0.5279042320013488,0.0,0.0,0.0,,0.0,1032.1969583692592,no_positive_kelly
2026-03-21,SEA,CBJ,2,5,home,CBJ,-186.0,1.5376344086021505,0.6992917192338876,0.6219831346321605,0.6503496503496503,0.048942068884237244,0.07730858460172707,0.6219831346321605,0.13997431700891838,0.05,51.60984791846296,True,27.747230063689763,1059.944188432949,
2026-03-21,TBL,EDM,5,2,skip,,114.0,2.1399999999999997,0.4751044200596862,0.448558885283451,0.4672897196261682,0.007814700433518007,0.026545534776235225,0.448558885283451,0.0,0.0,0.0,,0.0,1059.944188432949,below_min_edge
2026-03-21,BUF,LAK,4,1,skip,,-130.0,1.7692307692307692,0.5807753620408729,0.5415587004185768,0.5652173913043478,0.015557970736525095,0.03921666162229609,0.4584412995814232,0.0,0.0,0.0,,0.0,1059.944188432949,below_min_edge
2026-03-21,DAL,MIN,1,2,skip,,,,,,,,,0.44971773036073104,0.0,0.0,0.0,,0.0,1059.944188432949,no_positive_kelly
2026-03-21,VGK,NSH,1,4,skip,,130.0,2.3,0.4711479953822849,0.41639557579700714,0.43478260869565216,0.03636538668663275,0.05475241958527777,0.41639557579700714,0.0,0.0,0.0,,0.0,1059.944188432949,below_min_model_prob
2026-03-21,TOR,OTT,2,5,skip,,,,,,,,,0.730244366867661,0.0,0.0,0.0,,0.0,1059.944188432949,no_positive_kelly
2026-03-21,WPG,PIT,4,5,skip,,,,,,,,,0.5913146565171273,0.0,0.0,0.0,,0.0,1059.944188432949,no_positive_kelly
