bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,,CBJ,CBJ,SKIP,side_filter_away,Side Filter Away,70.96,65.78,68.65,2.31,5.18,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,1000.0,False
2,2026-03-19,2,Regular,FLA at EDM,4-0,skip,away,FLA,,FLA,FLA,SKIP,below_min_edge,Below Min Edge,46.96,40.71,42.55,4.4,6.25,135,+135,2.35,0.0,0.0,0.0,0.0,1000.0,False
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,home,LAK,,LAK,PHI,SKIP,no_positive_kelly,No Positive Kelly,64.44,63.14,65.87,-1.43,1.3,-193,-193,1.5181347150259068,0.0,0.0,0.0,0.0,1000.0,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,skip,home,MIN,,MIN,CHI,SKIP,no_positive_kelly,No Positive Kelly,63.55,63.09,65.99,-2.44,0.46,-194,-194,1.5154639175257731,0.0,0.0,0.0,0.0,1000.0,False
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,home,NSH,,NSH,NSH,SKIP,no_positive_kelly,No Positive Kelly,51.26,51.95,54.34,-3.08,-0.69,-119,-119,1.8403361344537816,0.0,0.0,0.0,0.0,1000.0,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,skip,home,SJS,,SJS,BUF,SKIP,side_filter_away,Side Filter Away,46.67,43.33,45.25,1.43,3.35,121,+121,2.21,0.0,0.0,0.0,0.0,1000.0,False
7,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,,VAN,TBL,SKIP,side_filter_away,Side Filter Away,39.53,25.88,27.1,12.43,13.65,269,+269,3.69,0.0,0.0,0.0,0.0,1000.0,False
8,2026-03-19,2,Regular,UTA at VGK,4-0,skip,away,UTA,,UTA,UTA,SKIP,below_min_edge,Below Min Edge,46.98,44.06,46.08,0.89,2.92,117,+117,2.17,0.0,0.0,0.0,0.0,1000.0,False
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,no_positive_kelly,No Positive Kelly,52.98,51.62,54.13,-1.15,1.36,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,1000.0,False
10,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,,CHI,COL,SKIP,side_filter_away,Side Filter Away,32.73,26.17,27.32,5.41,6.55,266,+266,3.66,0.0,0.0,0.0,0.0,1000.0,False
11,2026-03-20,2,Regular,CAR at TOR,4-3,skip,away,CAR,,CAR,CAR,SKIP,below_min_edge,Below Min Edge,70.36,66.02,69.14,1.22,4.34,-224,-224,1.4464285714285714,0.0,0.0,0.0,0.0,1000.0,False
12,2026-03-20,2,Regular,NJD at WSH,1-2,skip,home,WSH,,WSH,WSH,SKIP,no_positive_kelly,No Positive Kelly,52.77,52.79,55.36,-2.59,-0.02,-124,-124,1.8064516129032258,0.0,0.0,0.0,0.0,1000.0,False
13,2026-03-21,2,Regular,SEA at CBJ,2-5,skip,home,CBJ,,CBJ,CBJ,SKIP,side_filter_away,Side Filter Away,67.05,62.2,65.03,2.01,4.85,-186,-186,1.5376344086021505,0.0,0.0,0.0,0.0,1000.0,False
