bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,WPG at BOS,1-6,away,away,WPG,WPG,WPG,BOS,LOSS,nan,Nan,49.420507583231114,43.50927246790299,45.454545454545446,3.9659621286856503,5.911235115328109,120,+120,2.2,7.27093056925703,3.63546528462851,36.35465284628519,-36.35465284628519,963.6453471537149,True
2,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,nan,nan,CBJ,SKIP,below_min_edge,Below Min Edge,70.76260729799657,65.77987556318386,68.65203761755487,2.11056968044169,4.98273173481269,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,963.6453471537149,False
3,2026-03-19,2,Regular,FLA at EDM,4-0,skip,away,FLA,nan,nan,FLA,SKIP,below_min_edge,Below Min Edge,42.89745987345112,40.70892345793669,42.5531914893617,0.34426838408942,2.18853641551443,135,+135,2.35,0.0,0.0,0.0,0.0,963.6453471537149,False
4,2026-03-19,2,Regular,PHI at LAK,4-3,skip,,,nan,nan,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,963.6453471537149,False
5,2026-03-19,2,Regular,CHI at MIN,2-1,skip,away,CHI,nan,nan,CHI,SKIP,below_min_model_prob,Below Min Model Prob,42.75615958358966,36.91334153629811,38.61003861003861,4.1461209735510405,5.84281804729154,159,+159,2.59,0.0,0.0,0.0,0.0,963.6453471537149,False
6,2026-03-19,2,Regular,SEA at NSH,1-3,skip,,,nan,nan,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,963.6453471537149,False
7,2026-03-19,2,Regular,BUF at SJS,5-0,away,away,BUF,BUF,BUF,BUF,WIN,nan,Nan,66.24250883560057,56.671677425059684,59.183673469387756,7.05883536621282,9.57083141054089,-145,-145,1.6896551724137931,17.29414664722142,5.0,48.18226735768575,33.22914990185224,996.8744970555672,True
8,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,nan,nan,TBL,SKIP,below_min_model_prob,Below Min Model Prob,36.16104167109303,25.876591236692658,27.10027100271002,9.060770668383,10.28445043440037,269,+269,3.69,0.0,0.0,0.0,0.0,996.8744970555672,False
9,2026-03-19,2,Regular,UTA at VGK,4-0,away,away,UTA,UTA,UTA,UTA,WIN,nan,Nan,49.34868275662152,44.060917417774284,46.08294930875576,3.26573344786575,5.28776533884723,117,+117,2.17,6.05695861698178,3.02847930849089,30.190137874950512,35.322461313692095,1032.1969583692592,True
10,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,nan,nan,CGY,SKIP,below_min_edge,Below Min Edge,55.93649801494611,51.61610067229787,54.12844036697248,1.80805764797363,4.320397342648239,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,1032.1969583692592,False
11,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,nan,nan,COL,SKIP,below_min_model_prob,Below Min Model Prob,32.15511584908703,26.17423878589953,27.322404371584703,4.83271147750233,5.9808770631875,266,+266,3.66,0.0,0.0,0.0,0.0,1032.1969583692592,False
12,2026-03-20,2,Regular,CAR at TOR,4-3,skip,home,TOR,nan,nan,CAR,SKIP,below_min_model_prob,Below Min Model Prob,44.498359395431244,33.98221178050009,35.58718861209964,8.911170783331599,10.51614761493116,181,+181,2.81,0.0,0.0,0.0,0.0,1032.1969583692592,False
13,2026-03-20,2,Regular,NJD at WSH,1-2,skip,,,nan,nan,WSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1032.1969583692592,False
