bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,,CBJ,CBJ,SKIP,side_filter_away,Side Filter Away,72.36,65.78,68.65,3.7,6.58,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,1000.0,False
2,2026-03-19,2,Regular,FLA at EDM,4-0,skip,away,FLA,,FLA,FLA,SKIP,below_min_model_prob,Below Min Model Prob,42.96,40.71,42.55,0.4,2.25,135,+135,2.35,0.0,0.0,0.0,0.0,1000.0,False
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,skip,away,CHI,,CHI,CHI,SKIP,below_min_model_prob,Below Min Model Prob,41.32,36.91,38.61,2.71,4.4,159,+159,2.59,0.0,0.0,0.0,0.0,1000.0,False
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,skip,home,SJS,,SJS,BUF,SKIP,side_filter_away,Side Filter Away,49.38,43.33,45.25,4.13,6.05,121,+121,2.21,0.0,0.0,0.0,0.0,1000.0,False
7,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,,VAN,TBL,SKIP,side_filter_away,Side Filter Away,33.9,25.88,27.1,6.8,8.02,269,+269,3.69,0.0,0.0,0.0,0.0,1000.0,False
8,2026-03-19,2,Regular,UTA at VGK,4-0,skip,,,,,UTA,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,side_filter_away,Side Filter Away,55.18,51.62,54.13,1.06,3.57,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,1000.0,False
10,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,,CHI,COL,SKIP,side_filter_away,Side Filter Away,37.27,26.17,27.32,9.95,11.1,266,+266,3.66,0.0,0.0,0.0,0.0,1000.0,False
11,2026-03-20,2,Regular,CAR at TOR,4-3,skip,home,TOR,,TOR,CAR,SKIP,side_filter_away,Side Filter Away,42.7,33.98,35.59,7.12,8.72,181,+181,2.81,0.0,0.0,0.0,0.0,1000.0,False
12,2026-03-20,2,Regular,NJD at WSH,1-2,skip,,,,,WSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
13,2026-03-21,2,Regular,SEA at CBJ,2-5,skip,home,CBJ,,CBJ,CBJ,SKIP,side_filter_away,Side Filter Away,71.34,62.2,65.03,6.3,9.14,-186,-186,1.5376344086021505,0.0,0.0,0.0,0.0,1000.0,False
14,2026-03-21,2,Regular,TBL at EDM,5-2,skip,home,EDM,,EDM,TBL,SKIP,side_filter_away,Side Filter Away,49.26,44.86,46.73,2.53,4.4,114,+114,2.14,0.0,0.0,0.0,0.0,1000.0,False
15,2026-03-21,2,Regular,BUF at LAK,4-1,skip,,,,,BUF,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
16,2026-03-21,2,Regular,DAL at MIN,1-2,skip,home,MIN,,MIN,MIN,SKIP,side_filter_away,Side Filter Away,47.79,44.97,46.95,0.84,2.82,113,+113,2.13,0.0,0.0,0.0,0.0,1000.0,False
17,2026-03-21,2,Regular,VGK at NSH,1-4,skip,home,NSH,,NSH,NSH,SKIP,side_filter_away,Side Filter Away,47.74,41.64,43.48,4.26,6.1,130,+130,2.3,0.0,0.0,0.0,0.0,1000.0,False
18,2026-03-21,2,Regular,TOR at OTT,2-5,skip,away,TOR,,TOR,OTT,SKIP,below_min_model_prob,Below Min Model Prob,34.06,26.98,28.25,5.81,7.08,254,+254,3.54,0.0,0.0,0.0,0.0,1000.0,False
19,2026-03-21,2,Regular,WPG at PIT,4-5,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
20,2026-03-21,2,Regular,PHI at SJS,4-1,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
21,2026-03-21,2,Regular,STL at VAN,3-1,skip,home,VAN,,VAN,STL,SKIP,side_filter_away,Side Filter Away,50.2,42.73,44.64,5.55,7.47,124,+124,2.24,0.0,0.0,0.0,0.0,1000.0,False
22,2026-03-22,2,Regular,TBL at CGY,3-4,skip,,,,,CGY,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
23,2026-03-22,2,Regular,NSH at CHI,3-2,away,away,NSH,NSH,NSH,NSH,WIN,,,58.64,51.18,53.7,4.93,7.45,-116,-116,1.862068965517241,10.66,3.0,30.0,25.86206896551723,1025.8620689655172,True
24,2026-03-22,2,Regular,VGK at DAL,3-2,skip,,,,,VGK,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1025.8620689655172,False
25,2026-03-22,2,Regular,LAK at UTA,3-4,skip,away,LAK,,LAK,UTA,SKIP,below_min_model_prob,Below Min Model Prob,43.32,38.83,40.65,2.67,4.49,146,+146,2.46,0.0,0.0,0.0,0.0,1025.8620689655172,False
