bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,,CBJ,CBJ,SKIP,market_disagreement,Market Disagreement,71.04,65.78,68.65,2.39,5.26,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,1000.0,False
2,2026-03-19,2,Regular,FLA at EDM,4-0,skip,,,,,FLA,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,away,away,CHI,CHI,CHI,CHI,WIN,,,40.44,36.91,38.61,1.83,3.52,159,+159,2.59,2.97,1.49,14.87355636456474,23.648954619657935,1023.648954619658,True
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1023.648954619658,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,home,home,SJS,SJS,SJS,BUF,LOSS,,,48.17,43.33,45.25,2.92,4.84,121,+121,2.21,5.33,2.66,27.276097200727285,-27.276097200727285,996.3728574189307,True
7,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,,VAN,TBL,SKIP,market_disagreement,Market Disagreement,32.29,25.88,27.1,5.19,6.42,269,+269,3.69,0.0,0.0,0.0,0.0,996.3728574189307,False
8,2026-03-19,2,Regular,UTA at VGK,4-0,skip,,,,,UTA,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,996.3728574189307,False
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,below_min_edge,Below Min Edge,54.47,51.62,54.13,0.34,2.85,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,996.3728574189307,False
10,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,,CHI,COL,SKIP,market_disagreement,Market Disagreement,35.05,26.17,27.32,7.73,8.88,266,+266,3.66,0.0,0.0,0.0,0.0,996.3728574189307,False
11,2026-03-20,2,Regular,CAR at TOR,4-3,skip,home,TOR,,TOR,CAR,SKIP,market_disagreement,Market Disagreement,40.96,33.98,35.59,5.37,6.98,181,+181,2.81,0.0,0.0,0.0,0.0,996.3728574189307,False
12,2026-03-20,2,Regular,NJD at WSH,1-2,skip,,,,,WSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,996.3728574189307,False
13,2026-03-21,2,Regular,SEA at CBJ,2-5,skip,home,CBJ,,CBJ,CBJ,SKIP,market_disagreement,Market Disagreement,69.51,62.2,65.03,4.48,7.31,-186,-186,1.5376344086021505,0.0,0.0,0.0,0.0,996.3728574189307,False
14,2026-03-21,2,Regular,TBL at EDM,5-2,home,home,EDM,EDM,EDM,TBL,LOSS,,,48.38,44.86,46.73,1.65,3.52,114,+114,2.14,3.09,1.55,15.401605620914019,-15.401605620914019,980.9712517980167,True
15,2026-03-21,2,Regular,BUF at LAK,4-1,skip,,,,,BUF,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,980.9712517980167,False
16,2026-03-21,2,Regular,DAL at MIN,1-2,skip,home,MIN,,MIN,MIN,SKIP,below_min_edge,Below Min Edge,47.22,44.97,46.95,0.28,2.25,113,+113,2.13,0.0,0.0,0.0,0.0,980.9712517980167,False
17,2026-03-21,2,Regular,VGK at NSH,1-4,home,home,NSH,NSH,NSH,NSH,WIN,,,46.52,41.64,43.48,3.04,4.88,130,+130,2.3,5.38,2.69,26.410942766752417,34.33422559677814,1015.3054773947949,True
18,2026-03-21,2,Regular,TOR at OTT,2-5,skip,away,TOR,,TOR,OTT,SKIP,market_disagreement,Market Disagreement,32.64,26.98,28.25,4.39,5.67,254,+254,3.54,0.0,0.0,0.0,0.0,1015.3054773947949,False
19,2026-03-21,2,Regular,WPG at PIT,4-5,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1015.3054773947949,False
20,2026-03-21,2,Regular,PHI at SJS,4-1,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1015.3054773947949,False
21,2026-03-21,2,Regular,STL at VAN,3-1,skip,home,VAN,,VAN,STL,SKIP,market_disagreement,Market Disagreement,48.7,42.73,44.64,4.06,5.98,124,+124,2.24,0.0,0.0,0.0,0.0,1015.3054773947949,False
22,2026-03-22,2,Regular,TBL at CGY,3-4,skip,,,,,CGY,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1015.3054773947949,False
23,2026-03-22,2,Regular,NSH at CHI,3-2,skip,away,NSH,,NSH,NSH,SKIP,market_disagreement,Market Disagreement,57.15,51.18,53.7,3.44,5.96,-116,-116,1.862068965517241,0.0,0.0,0.0,0.0,1015.3054773947949,False
24,2026-03-22,2,Regular,VGK at DAL,3-2,skip,,,,,VGK,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1015.3054773947949,False
25,2026-03-22,2,Regular,LAK at UTA,3-4,away,away,LAK,LAK,LAK,UTA,LOSS,,,42.43,38.83,40.65,1.78,3.59,146,+146,2.46,2.99,1.5,15.192167278304892,-15.192167278304892,1000.1133101164901,True
26,2026-03-22,2,Regular,COL at WSH,3-2,skip,,,,,COL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.1133101164901,False
27,2026-03-23,2,Regular,OTT at NYR,2-1,home,home,NYR,NYR,NYR,OTT,LOSS,,,41.17,37.04,38.61,2.56,4.13,159,+159,2.59,4.16,2.08,20.81487262234552,-20.81487262234552,979.2984374941445,True
28,2026-03-24,2,Regular,TOR at BOS,4-2,skip,away,TOR,,TOR,TOR,SKIP,market_disagreement,Market Disagreement,41.1,35.38,37.04,4.07,5.72,170,+170,2.7,0.0,0.0,0.0,0.0,979.2984374941445,False
29,2026-03-24,2,Regular,NJD at DAL,6-4,away,away,NJD,NJD,NJD,NJD,WIN,,,44.16,39.88,41.67,2.5,4.29,140,+140,2.4,4.28,2.14,20.95177627952613,29.332486791336578,1008.6309242854811,True
30,2026-03-24,2,Regular,OTT at DET,3-2,home,home,DET,DET,DET,OTT,LOSS,,,59.18,55.3,57.81,1.38,3.88,-137,-137,1.72992700729927,3.26,1.63,16.438572825654663,-16.438572825654663,992.1923514598265,True
31,2026-03-24,2,Regular,CAR at MTL,2-5,skip,home,MTL,,MTL,MTL,SKIP,market_disagreement,Market Disagreement,51.64,46.46,48.54,3.1,5.18,106,+106,2.06,0.0,0.0,0.0,0.0,992.1923514598265,False
32,2026-03-24,2,Regular,SJS at NSH,3-6,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,992.1923514598265,False
33,2026-03-24,2,Regular,CHI at NYI,4-3,away,away,CHI,CHI,CHI,CHI,WIN,,,44.12,39.93,41.67,2.45,4.19,140,+140,2.4,4.21,2.1,20.871259947314595,29.219763926240432,1021.412115386067,True
34,2026-03-24,2,Regular,CBJ at PHI,3-2,skip,,,,,CBJ,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1021.412115386067,False
35,2026-03-24,2,Regular,COL at PIT,6-2,skip,away,COL,,COL,COL,SKIP,below_min_edge,Below Min Edge,63.76,60.18,62.96,0.79,3.58,-170,-170,1.5882352941176472,0.0,0.0,0.0,0.0,1021.412115386067,False
36,2026-03-24,2,Regular,MIN at TBL,3-6,skip,away,MIN,,MIN,TBL,SKIP,market_disagreement,Market Disagreement,47.3,41.75,43.67,3.63,5.55,129,+129,2.29,0.0,0.0,0.0,0.0,1021.412115386067,False
37,2026-03-24,2,Regular,EDM at UTA,5-2,skip,away,EDM,,EDM,EDM,SKIP,market_disagreement,Market Disagreement,49.84,44.7,46.73,3.11,5.14,114,+114,2.14,0.0,0.0,0.0,0.0,1021.412115386067,False
38,2026-03-24,2,Regular,ANA at VAN,5-3,skip,home,VAN,,VAN,ANA,SKIP,market_disagreement,Market Disagreement,44.31,37.26,38.91,5.4,7.05,157,+157,2.5700000000000003,0.0,0.0,0.0,0.0,1021.412115386067,False
39,2026-03-24,2,Regular,VGK at WPG,1-4,skip,home,WPG,,WPG,WPG,SKIP,below_min_edge,Below Min Edge,47.75,45.09,47.17,0.58,2.66,112,+112,2.12,0.0,0.0,0.0,0.0,1021.412115386067,False
40,2026-03-25,2,Regular,BOS at BUF,4-3,skip,,,,,BOS,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1021.412115386067,False
41,2026-03-25,2,Regular,NYR at TOR,3-4,home,home,TOR,TOR,TOR,TOR,WIN,,,50.01,45.36,47.39,2.61,4.64,111,+111,2.1100000000000003,4.97,2.48,25.366404146597066,28.156708602722752,1049.5688239887897,True
42,2026-03-26,2,Regular,ANA at CGY,3-2,skip,home,CGY,,CGY,ANA,SKIP,below_min_edge,Below Min Edge,48.38,45.56,47.62,0.76,2.82,110,+110,2.1,0.0,0.0,0.0,0.0,1049.5688239887897,False
43,2026-03-26,2,Regular,MIN at FLA,3-2,skip,home,FLA,,FLA,MIN,SKIP,market_disagreement,Market Disagreement,45.73,40.5,42.19,3.54,5.23,137,+137,2.37,0.0,0.0,0.0,0.0,1049.5688239887897,False
44,2026-03-26,2,Regular,NJD at NSH,4-2,skip,,,,,NJD,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1049.5688239887897,False
45,2026-03-26,2,Regular,DAL at NYI,1-2,skip,,,,,NYI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1049.5688239887897,False
46,2026-03-26,2,Regular,PIT at OTT,4-3,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1049.5688239887897,False
47,2026-03-26,2,Regular,CHI at PHI,1-5,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1049.5688239887897,False
48,2026-03-26,2,Regular,SJS at STL,1-2,skip,,,,,STL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1049.5688239887897,False
49,2026-03-26,2,Regular,SEA at TBL,4-3,away,away,SEA,SEA,SEA,SEA,WIN,,,31.62,28.53,29.76,1.86,3.09,236,+236,3.36,2.65,1.32,13.883421425174122,32.76487456341093,1082.3336985522008,True
50,2026-03-26,2,Regular,WSH at UTA,7-4,skip,home,UTA,,UTA,WSH,SKIP,below_min_edge,Below Min Edge,54.26,52.06,53.49,0.77,2.21,-115,-115,1.869565217391304,0.0,0.0,0.0,0.0,1082.3336985522008,False
51,2026-03-26,2,Regular,LAK at VAN,4-0,skip,home,VAN,,VAN,LAK,SKIP,market_disagreement,Market Disagreement,44.29,38.17,39.84,4.45,6.12,151,+151,2.51,0.0,0.0,0.0,0.0,1082.3336985522008,False
52,2026-03-26,2,Regular,EDM at VGK,4-3,away,away,EDM,EDM,EDM,EDM,WIN,,,47.78,43.19,45.25,2.54,4.59,121,+121,2.21,4.63,2.32,25.063659191216036,30.327027621371403,1112.6607261735721,True
53,2026-03-26,2,Regular,COL at WPG,3-2,skip,,,,,COL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1112.6607261735721,False
54,2026-03-27,2,Regular,CHI at NYR,1-6,skip,away,CHI,,CHI,NYR,SKIP,market_disagreement,Market Disagreement,44.94,38.83,40.65,4.29,6.11,146,+146,2.46,0.0,0.0,0.0,0.0,1112.6607261735721,False
55,2026-03-28,2,Regular,SEA at BUF,2-3,skip,away,SEA,,SEA,BUF,SKIP,market_disagreement,Market Disagreement,42.65,37.14,38.91,3.74,5.52,157,+157,2.5700000000000003,0.0,0.0,0.0,0.0,1112.6607261735721,False
56,2026-03-28,2,Regular,NJD at CAR,2-5,away,away,NJD,NJD,NJD,CAR,LOSS,,,40.76,36.12,37.88,2.88,4.64,164,+164,2.64,4.64,2.32,25.810692301386084,-25.810692301386084,1086.850033872186,True
57,2026-03-28,2,Regular,SJS at CBJ,3-2,skip,home,CBJ,,CBJ,SJS,SKIP,market_disagreement,Market Disagreement,71.15,63.14,65.87,5.28,8.02,-193,-193,1.5181347150259068,0.0,0.0,0.0,0.0,1086.850033872186,False
58,2026-03-28,2,Regular,VAN at CGY,3-7,away,away,VAN,VAN,VAN,CGY,LOSS,,,43.99,40.24,42.02,1.97,3.75,138,+138,2.38,3.4,1.7,18.485417201762637,-18.485417201762637,1068.3646166704234,True
59,2026-03-28,2,Regular,WPG at COL,4-2,away,away,WPG,WPG,WPG,WPG,WIN,,,32.55,29.86,31.15,1.4,2.69,221,+221,3.21,2.03,1.01,10.83950555163569,23.955307269114876,1092.3199239395383,True
60,2026-03-28,2,Regular,PHI at DET,5-3,skip,away,PHI,,PHI,PHI,SKIP,below_min_edge,Below Min Edge,48.37,45.84,47.85,0.53,2.53,109,+109,2.09,0.0,0.0,0.0,0.0,1092.3199239395383,False
61,2026-03-28,2,Regular,UTA at LAK,6-2,skip,home,LAK,,LAK,UTA,SKIP,market_disagreement,Market Disagreement,51.32,45.14,46.51,4.81,6.18,115,+115,2.15,0.0,0.0,0.0,0.0,1092.3199239395383,False
62,2026-03-28,2,Regular,FLA at NYI,2-5,skip,away,FLA,,FLA,NYI,SKIP,market_disagreement,Market Disagreement,48.17,35.71,37.45,10.72,12.46,167,+167,2.67,0.0,0.0,0.0,0.0,1092.3199239395383,False
63,2026-03-28,2,Regular,TOR at STL,1-5,skip,,,,,STL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1092.3199239395383,False
64,2026-03-28,2,Regular,OTT at TBL,2-4,skip,away,OTT,,OTT,TBL,SKIP,market_disagreement,Market Disagreement,58.24,44.66,46.51,11.73,13.58,115,+115,2.15,0.0,0.0,0.0,0.0,1092.3199239395383,False
65,2026-03-28,2,Regular,WSH at VGK,5-4,skip,away,WSH,,WSH,WSH,SKIP,market_disagreement,Market Disagreement,50.95,41.46,43.48,7.47,9.49,130,+130,2.3,0.0,0.0,0.0,0.0,1092.3199239395383,False
66,2026-03-29,2,Regular,MTL at CAR,3-1,skip,home,CAR,,CAR,MTL,SKIP,below_min_edge,Below Min Edge,64.31,60.53,63.37,0.94,3.78,-173,-173,1.5780346820809248,0.0,0.0,0.0,0.0,1092.3199239395383,False
67,2026-03-29,2,Regular,BOS at CBJ,4-3,skip,,,,,BOS,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1092.3199239395383,False
68,2026-03-29,2,Regular,CHI at NJD,3-5,skip,away,CHI,,CHI,NJD,SKIP,market_disagreement,Market Disagreement,45.4,39.98,41.84,3.56,5.43,139,+139,2.39,0.0,0.0,0.0,0.0,1092.3199239395383,False
69,2026-03-29,2,Regular,FLA at NYR,1-3,away,away,FLA,FLA,FLA,NYR,LOSS,,,42.55,38.22,39.84,2.71,4.34,151,+151,2.51,4.51,2.25,24.630530029641545,-24.630530029641545,1067.6893939098968,True
70,2026-03-29,2,Regular,DAL at PHI,1-2,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1067.6893939098968,False
71,2026-03-29,2,Regular,NSH at TBL,2-3,away,away,NSH,NSH,NSH,TBL,LOSS,,,42.43,37.89,39.68,2.75,4.54,152,+152,2.52,4.56,2.28,24.322313360630066,-24.322313360630066,1043.3670805492668,True
72,2026-03-30,2,Regular,TOR at ANA,5-4,skip,,,,,TOR,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1043.3670805492668,False
73,2026-03-30,2,Regular,CGY at COL,2-9,skip,away,CGY,,CGY,COL,SKIP,market_disagreement,Market Disagreement,35.8,23.15,24.21,11.59,12.65,313,+313,4.13,0.0,0.0,0.0,0.0,1043.3670805492668,False
74,2026-03-30,2,Regular,PIT at NYI,8-3,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1043.3670805492668,False
