bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,,CBJ,CBJ,SKIP,below_min_edge,Below Min Edge,69.93,65.78,68.65,1.27,4.15,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,1000.0,False
2,2026-03-19,2,Regular,FLA at EDM,4-0,skip,away,FLA,,FLA,FLA,SKIP,below_min_edge,Below Min Edge,45.71,40.71,42.55,3.15,5.0,135,+135,2.35,0.0,0.0,0.0,0.0,1000.0,False
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,home,LAK,,LAK,PHI,SKIP,no_positive_kelly,No Positive Kelly,64.18,63.14,65.87,-1.69,1.04,-193,-193,1.5181347150259068,0.0,0.0,0.0,0.0,1000.0,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,skip,home,MIN,,MIN,CHI,SKIP,no_positive_kelly,No Positive Kelly,63.45,63.09,65.99,-2.53,0.37,-194,-194,1.5154639175257731,0.0,0.0,0.0,0.0,1000.0,False
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,home,NSH,,NSH,NSH,SKIP,no_positive_kelly,No Positive Kelly,51.4,51.95,54.34,-2.94,-0.56,-119,-119,1.8403361344537816,0.0,0.0,0.0,0.0,1000.0,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,skip,home,SJS,,SJS,BUF,SKIP,below_min_edge,Below Min Edge,46.01,43.33,45.25,0.76,2.68,121,+121,2.21,0.0,0.0,0.0,0.0,1000.0,False
7,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,,VAN,TBL,SKIP,below_min_model_prob,Below Min Model Prob,36.8,25.88,27.1,9.7,10.92,269,+269,3.69,0.0,0.0,0.0,0.0,1000.0,False
8,2026-03-19,2,Regular,UTA at VGK,4-0,skip,away,UTA,,UTA,UTA,SKIP,below_min_edge,Below Min Edge,46.39,44.06,46.08,0.31,2.33,117,+117,2.17,0.0,0.0,0.0,0.0,1000.0,False
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,no_positive_kelly,No Positive Kelly,52.71,51.62,54.13,-1.42,1.09,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,1000.0,False
10,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,,CHI,COL,SKIP,below_min_model_prob,Below Min Model Prob,31.42,26.17,27.32,4.09,5.24,266,+266,3.66,0.0,0.0,0.0,0.0,1000.0,False
