bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,home,home,CBJ,CBJ,CBJ,CBJ,WIN,,,70.96,65.78,68.65,2.31,5.18,-219,-219,1.45662100456621,7.37,1.84,18.416723574573073,8.409462819439758,1008.4094628194398,True
2,2026-03-19,2,Regular,FLA at EDM,4-0,away,away,FLA,FLA,FLA,FLA,WIN,,,46.96,40.71,42.55,4.4,6.25,135,+135,2.35,7.67,1.92,19.327454630645022,26.09206375137078,1034.5015265708105,True
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,home,LAK,,LAK,PHI,SKIP,no_positive_kelly,No Positive Kelly,64.44,63.14,65.87,-1.43,1.3,-193,-193,1.5181347150259068,0.0,0.0,0.0,0.0,1034.5015265708105,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,skip,away,CHI,,CHI,CHI,SKIP,no_positive_kelly,No Positive Kelly,36.45,36.91,38.61,-2.16,-0.46,159,+159,2.59,0.0,0.0,0.0,0.0,1034.5015265708105,False
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,away,SEA,,SEA,NSH,SKIP,no_positive_kelly,No Positive Kelly,48.74,48.05,50.25,-1.51,0.69,-101,-101,1.99009900990099,0.0,0.0,0.0,0.0,1034.5015265708105,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,home,home,SJS,SJS,SJS,BUF,LOSS,,,46.67,43.33,45.25,1.43,3.35,121,+121,2.21,2.6,0.65,6.73424713870547,-6.73424713870547,1027.767279432105,True
7,2026-03-19,2,Regular,TBL at VAN,6-2,home,home,VAN,VAN,VAN,TBL,LOSS,,,39.53,25.88,27.1,12.43,13.65,269,+269,3.69,17.04,4.26,43.79361732988378,-43.79361732988378,983.9736621022212,True
8,2026-03-19,2,Regular,UTA at VGK,4-0,away,away,UTA,UTA,UTA,UTA,WIN,,,46.98,44.06,46.08,0.89,2.92,117,+117,2.17,1.66,0.41,4.07911229018528,4.772561379516777,988.746223481738,True
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,no_positive_kelly,No Positive Kelly,52.98,51.62,54.13,-1.15,1.36,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,988.746223481738,False
10,2026-03-20,2,Regular,COL at CHI,4-1,home,home,CHI,CHI,CHI,COL,LOSS,,,32.73,26.17,27.32,5.41,6.55,266,+266,3.66,7.44,1.86,18.38499213484308,-18.38499213484308,970.3612313468949,True
11,2026-03-20,2,Regular,CAR at TOR,4-3,away,away,CAR,CAR,CAR,CAR,WIN,,,70.36,66.02,69.14,1.22,4.34,-224,-224,1.4464285714285714,3.97,0.99,9.625149824004325,4.296941885716216,974.6581732326111,True
