bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,,CBJ,CBJ,SKIP,side_filter_away,Side Filter Away,71.32,65.78,68.65,2.66,5.54,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,1000.0,False
2,2026-03-19,2,Regular,FLA at EDM,4-0,skip,away,FLA,,FLA,FLA,SKIP,below_min_edge,Below Min Edge,43.14,40.71,42.55,0.59,2.43,135,+135,2.35,0.0,0.0,0.0,0.0,1000.0,False
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,skip,away,CHI,,CHI,CHI,SKIP,below_min_model_prob,Below Min Model Prob,43.41,36.91,38.61,4.8,6.49,159,+159,2.59,0.0,0.0,0.0,0.0,1000.0,False
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,away,away,BUF,BUF,BUF,BUF,WIN,,,67.31,56.67,59.18,8.12,10.63,-145,-145,1.6896551724137931,19.9,5.0,50.0,34.48275862068966,1034.4827586206898,True
7,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,,VAN,TBL,SKIP,side_filter_away,Side Filter Away,37.3,25.88,27.1,10.2,11.43,269,+269,3.69,0.0,0.0,0.0,0.0,1034.4827586206898,False
8,2026-03-19,2,Regular,UTA at VGK,4-0,skip,away,UTA,,UTA,UTA,SKIP,below_min_edge,Below Min Edge,49.94,44.06,46.08,3.85,5.88,117,+117,2.17,0.0,0.0,0.0,0.0,1034.4827586206898,False
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,side_filter_away,Side Filter Away,56.42,51.62,54.13,2.29,4.8,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,1034.4827586206898,False
10,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,,CHI,COL,SKIP,side_filter_away,Side Filter Away,32.82,26.17,27.32,5.5,6.65,266,+266,3.66,0.0,0.0,0.0,0.0,1034.4827586206898,False
11,2026-03-20,2,Regular,CAR at TOR,4-3,skip,home,TOR,,TOR,CAR,SKIP,side_filter_away,Side Filter Away,45.67,33.98,35.59,10.08,11.68,181,+181,2.81,0.0,0.0,0.0,0.0,1034.4827586206898,False
12,2026-03-20,2,Regular,NJD at WSH,1-2,skip,,,,,WSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1034.4827586206898,False
13,2026-03-21,2,Regular,SEA at CBJ,2-5,skip,home,CBJ,,CBJ,CBJ,SKIP,side_filter_away,Side Filter Away,70.79,62.2,65.03,5.75,8.59,-186,-186,1.5376344086021505,0.0,0.0,0.0,0.0,1034.4827586206898,False
14,2026-03-21,2,Regular,TBL at EDM,5-2,skip,home,EDM,,EDM,TBL,SKIP,side_filter_away,Side Filter Away,47.81,44.86,46.73,1.08,2.95,114,+114,2.14,0.0,0.0,0.0,0.0,1034.4827586206898,False
15,2026-03-21,2,Regular,BUF at LAK,4-1,skip,away,BUF,,BUF,BUF,SKIP,below_min_edge,Below Min Edge,58.51,54.16,56.52,1.99,4.36,-130,-130,1.7692307692307692,0.0,0.0,0.0,0.0,1034.4827586206898,False
16,2026-03-21,2,Regular,DAL at MIN,1-2,skip,,,,,MIN,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1034.4827586206898,False
17,2026-03-21,2,Regular,VGK at NSH,1-4,skip,home,NSH,,NSH,NSH,SKIP,side_filter_away,Side Filter Away,47.72,41.64,43.48,4.24,6.08,130,+130,2.3,0.0,0.0,0.0,0.0,1034.4827586206898,False
18,2026-03-21,2,Regular,TOR at OTT,2-5,skip,,,,,OTT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1034.4827586206898,False
19,2026-03-21,2,Regular,WPG at PIT,4-5,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1034.4827586206898,False
20,2026-03-21,2,Regular,PHI at SJS,4-1,skip,away,PHI,,PHI,PHI,SKIP,below_min_edge,Below Min Edge,50.5,46.79,49.02,1.48,3.72,104,+104,2.04,0.0,0.0,0.0,0.0,1034.4827586206898,False
21,2026-03-21,2,Regular,STL at VAN,3-1,skip,home,VAN,,VAN,STL,SKIP,side_filter_away,Side Filter Away,46.6,42.73,44.64,1.96,3.88,124,+124,2.24,0.0,0.0,0.0,0.0,1034.4827586206898,False
