game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds,home_games_played,home_win_pct,home_last5_win_pct,home_gf_per_game,home_ga_per_game,home_goal_diff_per_game,home_last5_gf_per_game,home_last5_ga_per_game,home_rest_days,away_games_played,away_win_pct,away_last5_win_pct,away_gf_per_game,away_ga_per_game,away_goal_diff_per_game,away_last5_gf_per_game,away_last5_ga_per_game,away_rest_days,home_is_favorite,home_form_edge,home_goal_diff_edge,home_rest_edge,home_market_edge_feature
2022-10-07,NSH,SJS,-196,165,4,1,1,20222023,Nashville Predators lowest moneyline 2022-23,statmuse,0.6621621621621622,0.37735849056603776,0.6369879813588423,1.510204081632653,2.65,5.0,0.8,0.8,4.0,1.6,2.4,4.0,1.6,4.0,6.0,0.8333333333333334,0.8,3.6666666666666665,2.5,1.1666666666666667,3.8,2.6,3.0,1,0.0,1.2333333333333332,1.0,0.13698798135884227
2022-10-08,SJS,NSH,149,-178,2,3,0,20222023,Nashville Predators lowest moneyline 2022-23,statmuse,0.40160642570281124,0.6402877697841727,0.3854579739885194,2.49,1.5617977528089888,7.0,0.7142857142857143,0.6,3.2857142857142856,2.7142857142857144,0.5714285714285714,3.0,2.6,1.0,6.0,0.8333333333333334,1.0,4.0,1.5,2.5,4.2,1.0,1.0,0,-0.4,-1.9285714285714286,0.0,-0.11454202601148061
2022-10-11,NYR,TBL,-126,106,3,1,1,20222023,Tampa Bay Lightning highest moneyline 2022-23,statmuse,0.5575221238938053,0.4854368932038835,0.5345580360820495,1.7936507936507935,2.06,6.0,0.3333333333333333,0.2,2.5,3.0,-0.5,2.2,3.4,3.0,5.0,0.2,0.2,1.8,3.8,-2.0,1.8,3.8,3.0,1,0.0,1.5,0.0,0.03455803608204955
2022-10-12,ANA,SEA,-115,-105,5,4,1,20222023,Anaheim Ducks lowest moneyline 2022-23,statmuse,0.5348837209302325,0.5121951219512195,0.5108342361863488,1.8695652173913042,1.9523809523809523,7.0,0.5714285714285714,0.6,3.2857142857142856,3.0,0.2857142857142857,3.2,2.8,4.0,6.0,0.6666666666666666,0.6,3.0,2.0,1.0,3.0,2.4,5.0,1,0.0,-0.7142857142857143,-1.0,0.010834236186348822
2022-10-12,CAR,CBJ,-284,231,4,1,1,20222023,Carolina Hurricanes lowest moneyline 2022-23,statmuse,0.7395833333333334,0.3021148036253776,0.7099785504969638,1.352112676056338,3.31,5.0,0.8,0.8,4.8,2.2,2.6,4.8,2.2,8.0,8.0,0.5,0.4,3.25,2.75,0.5,3.0,3.4,4.0,1,0.4,2.1,4.0,0.2099785504969638
2022-10-12,COL,CHI,-418,323,5,2,1,20222023,Chicago Blackhawks highest moneyline 2022-23,statmuse,0.806949806949807,0.2364066193853428,0.7734172010463052,1.2392344497607655,4.23,6.0,0.5,0.6,2.1666666666666665,3.0,-0.8333333333333334,2.2,3.0,7.0,6.0,0.16666666666666666,0.2,1.0,3.6666666666666665,-2.6666666666666665,1.0,3.6,4.0,1,0.39999999999999997,1.833333333333333,3.0,0.2734172010463052
2022-10-12,EDM,VAN,-194,160,5,3,1,20222023,Vancouver Canucks highest moneyline 2022-23,statmuse,0.6598639455782312,0.38461538461538464,0.6317635270541082,1.5154639175257731,2.6,8.0,0.625,0.8,3.125,2.5,0.625,4.2,2.6,5.0,7.0,0.2857142857142857,0.4,2.2857142857142856,3.7142857142857144,-1.4285714285714286,2.8,3.8,5.0,1,0.4,2.053571428571429,0.0,0.1317635270541082
2022-10-12,MTL,TOR,204,-253,4,3,1,20222023,Toronto Maple Leafs lowest moneyline 2022-23,statmuse,0.32894736842105265,0.71671388101983,0.31458311054076216,3.04,1.3952569169960474,8.0,0.0,0.0,2.25,3.875,-1.625,2.8,4.4,4.0,7.0,0.7142857142857143,0.8,3.857142857142857,2.0,1.8571428571428572,4.2,1.8,4.0,0,-0.8,-3.482142857142857,0.0,-0.18541688945923784
2022-10-12,WSH,BOS,-143,120,2,5,0,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.588477366255144,0.45454545454545453,0.5642037302725968,1.6993006993006992,2.2,6.0,0.6666666666666666,0.8,2.8333333333333335,2.0,0.8333333333333334,2.8,1.6,4.0,6.0,0.5,0.6,2.6666666666666665,2.3333333333333335,0.3333333333333333,3.0,2.4,4.0,1,0.20000000000000007,0.5,0.0,0.06420373027259685
2022-10-13,CGY,COL,-137,115,5,3,1,20222023,Colorado Avalanche highest moneyline 2022-23,statmuse,0.5780590717299579,0.46511627906976744,0.5541341360173079,1.72992700729927,2.15,8.0,0.5,0.4,2.375,2.25,0.125,2.4,2.6,6.0,7.0,0.5714285714285714,0.6,2.5714285714285716,2.857142857142857,-0.2857142857142857,2.6,3.2,1.0,1,-0.19999999999999996,0.4107142857142857,5.0,0.05413413601730788
