entity,season_type,playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
skaters,regular,8478970,2025,Jalen Chatfield,CAR,D,other,72,3182.0,56.0,28.38,0.62,0.57,0.44,0.62,0.43,0.6,170.0,5.3,0.46,0.34,1.33,0.16,2.81,1.9,0.45,0.46,0.45,0.0,1.0,5.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,5.0,7.0,1.0,2.0,0.0,3.0,0.0,1.0,5.0,2.0,0.0,0.21,0.25,0.0,0.0,0.0,0.0,9.0,7.0,7.0,1.0,0.09,0.0,0.0,0.55,0.55,0.55,56.0,3.0,20.0,4.0,29.0,12.0,7.0,8.0,29.0,0.0,0.0,5279.0,2.0,0.0,0.0,0.0,30.44,9.98,9.92,9.98,9.92,24.0,19.0,15.0,58.0,8.0,0.0,0.0,17.0,12.0,14.0,0.65,1.58,7.75,1.0,1.0,6.0,58.0,43.0,43.0,0.43,0.0,0.0,10.41,10.41,10.35,43.75,6.06,5.68,6.06,5.68,41.0,17.0,16.0,74.0,5.0,3.0,0.0,35.0,13.0,10.0,1.2,1.52,3.34,0.0,2.0,3.0,74.0,58.0,58.0,1.07,0.74,0.74,6.39,6.39,6.07,19.06,14.24,171.0,107.0,0.0,0.53,1.0,1.0,0.0,1.0
skaters,regular,8478970,2025,Jalen Chatfield,CAR,D,all,72,87001.0,1820.0,40.7,0.48,0.59,0.54,0.62,0.53,0.61,241.0,119.97,5.2,6.39,35.43,4.18,67.25,50.56,4.95,5.21,4.97,6.0,9.0,100.0,69.0,93.0,262.0,17.0,2.0,16.0,0.0,26.0,1.0,59.0,65.0,98.0,167.0,9.0,18.0,0.0,36.0,29.0,68.0,158.0,9.0,2.0,3.52,1.14,0.54,2.0,0.0,0.0,265.41,169.0,171.27,43.0,1.33,2.06,0.29,6.24,6.25,5.99,1820.0,196.0,265.0,298.0,1061.0,291.0,169.0,256.0,1104.0,0.0,0.0,176225.0,18.0,10.0,5.0,63.0,802.48,71.68,69.52,72.69,70.5,682.0,416.0,390.0,1488.0,71.0,60.0,5.0,836.0,195.0,67.0,24.95,24.21,22.53,25.0,32.0,14.0,1519.0,1098.0,1118.54,10.64,10.95,10.95,71.37,72.29,71.13,729.42,78.06,73.85,77.65,73.45,628.0,350.0,315.0,1293.0,74.0,94.0,9.0,661.0,226.0,91.0,20.96,27.16,29.96,22.0,33.0,19.0,1277.74,978.0,968.59,12.43,19.2,19.2,71.3,70.97,68.64,190.3,132.79,3531.0,2190.0,0.0,0.0,0.0,0.0,0.0,0.0
skaters,regular,8478970,2025,Jalen Chatfield,CAR,D,5on5,72,73949.0,1520.0,40.7,0.52,0.58,0.58,0.6,0.57,0.59,225.0,108.24,4.05,5.69,32.89,3.78,62.13,44.46,3.97,4.07,3.99,6.0,8.0,87.0,66.0,91.0,244.0,16.0,2.0,14.0,0.0,24.0,1.0,55.0,57.0,85.0,151.0,7.0,14.0,0.0,29.0,22.0,62.0,147.0,5.0,1.0,3.16,0.64,0.26,2.0,0.0,0.0,247.41,153.0,155.27,37.0,1.15,1.85,0.29,4.91,4.92,4.84,1520.0,186.0,135.0,272.0,927.0,261.0,125.0,212.0,922.0,0.0,0.0,140585.0,14.0,4.0,2.0,44.0,729.02,55.79,54.19,56.79,55.16,615.0,385.0,374.0,1374.0,59.0,55.0,4.0,790.0,165.0,45.0,23.33,20.36,12.11,24.0,28.0,7.0,1405.0,1000.0,1020.54,9.56,9.97,9.97,55.39,56.3,55.55,556.04,52.22,49.8,51.81,49.41,476.0,274.0,245.0,995.0,52.0,69.0,6.0,522.0,176.0,52.0,16.28,21.34,14.6,21.0,25.0,6.0,979.74,750.0,740.59,7.99,13.43,13.74,46.47,46.15,45.28,121.09,89.2,2647.0,1757.0,4.88,0.41,97.0,17.0,76.0,15.0
skaters,regular,8478970,2025,Jalen Chatfield,CAR,D,4on5,72,9604.0,219.0,39.37,0.19,0.19,0.19,0.23,0.23,0.25,164.0,5.64,0.53,0.31,1.06,0.21,1.95,3.95,0.36,0.53,0.36,0.0,0.0,7.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,7.0,8.0,1.0,2.0,0.0,4.0,7.0,5.0,6.0,1.0,1.0,0.16,0.09,0.28,0.0,0.0,0.0,8.0,8.0,8.0,5.0,0.07,0.21,0.0,0.6,0.6,0.43,219.0,0.0,109.0,18.0,92.0,14.0,37.0,27.0,141.0,0.0,0.0,9210.0,2.0,0.0,0.0,0.0,38.73,4.75,4.35,4.75,4.35,40.0,10.0,1.0,51.0,4.0,5.0,1.0,27.0,16.0,7.0,0.91,2.02,1.82,0.0,3.0,1.0,51.0,50.0,50.0,0.52,0.98,0.98,4.29,4.29,4.08,128.88,19.77,18.36,19.77,18.36,110.0,59.0,54.0,223.0,17.0,22.0,3.0,103.0,37.0,29.0,3.45,4.3,12.01,1.0,6.0,10.0,223.0,169.0,169.0,3.37,5.03,4.72,18.41,18.41,17.26,3.69,16.2,62.0,212.0,0.18,0.02,2.0,2.0,2.0,2.0
skaters,regular,8478970,2025,Jalen Chatfield,CAR,D,5on4,72,266.0,25.0,11.0,0.99,0.86,0.83,0.88,0.83,0.86,81.0,0.79,0.16,0.05,0.15,0.03,0.37,0.25,0.16,0.16,0.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.02,0.0,0.0,0.18,0.18,0.18,25.0,7.0,1.0,4.0,13.0,4.0,0.0,9.0,12.0,0.0,0.0,6678.0,0.0,2.0,1.0,8.0,4.28,1.17,1.06,1.17,1.06,3.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,0.06,0.25,0.86,0.0,0.0,0.0,5.0,5.0,5.0,0.12,0.0,0.0,1.29,1.29,1.17,0.77,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.02,0.02,0.02,12.56,2.01,186.0,25.0,0.02,0.0,1.0,0.0,1.0,0.0
skaters,regular,8477940,2025,Nikolaj Ehlers,CAR,L,other,82,4510.0,78.0,71.44,0.6,0.55,0.7,0.51,0.71,0.48,270.0,22.35,3.31,1.39,4.16,0.78,12.56,7.8,3.25,3.31,3.25,8.0,4.0,22.0,8.0,12.0,42.0,15.0,3.0,1.0,0.0,2.0,0.0,11.0,13.0,19.0,27.0,0.0,0.0,2.0,3.0,4.0,3.0,19.0,7.0,4.0,0.65,0.87,1.79,0.0,1.0,2.0,42.0,30.0,30.0,0.0,0.42,0.26,0.0,3.73,3.73,3.66,78.0,30.0,13.0,7.0,28.0,8.0,8.0,27.0,35.0,2.0,3.0,6322.0,0.0,0.0,0.0,3.0,90.97,17.52,15.42,17.52,15.42,73.0,50.0,47.0,170.0,17.0,6.0,1.0,59.0,43.0,21.0,2.1,5.44,9.99,2.0,7.0,8.0,170.0,123.0,123.0,2.22,2.04,2.04,17.7,17.7,15.98,36.13,11.65,11.19,11.65,11.19,29.0,22.0,23.0,74.0,9.0,3.0,0.0,26.0,4.0,21.0,0.97,0.46,10.22,1.0,0.0,8.0,74.0,51.0,51.0,0.6,0.81,0.81,11.44,11.44,11.07,19.12,15.93,152.0,148.0,0.14,0.0,2.0,0.0,2.0,0.0
skaters,regular,8477940,2025,Nikolaj Ehlers,CAR,L,all,82,81651.0,1600.0,89.31,0.64,0.53,0.66,0.57,0.66,0.56,411.0,229.66,19.06,14.12,56.04,7.75,125.16,90.87,18.65,19.08,18.67,29.0,16.0,208.0,105.0,118.0,431.0,71.0,26.0,19.0,1.0,53.0,0.0,107.0,108.0,182.0,287.0,7.0,14.0,11.0,21.0,24.0,87.0,245.0,49.0,19.0,7.19,5.78,6.1,11.0,7.0,8.0,436.93,313.0,316.44,14.0,3.21,3.34,1.06,21.21,21.23,20.8,1600.0,303.0,116.0,266.0,915.0,301.0,167.0,283.0,849.0,11.0,20.0,218163.0,14.0,34.0,16.0,24.0,957.28,99.26,93.57,99.95,94.22,847.0,446.0,478.0,1771.0,104.0,106.0,13.0,927.0,251.0,115.0,27.56,30.97,40.74,39.0,33.0,32.0,1790.11,1293.0,1307.22,15.52,19.27,19.3,95.48,95.93,92.46,498.48,55.89,53.78,55.49,53.44,458.0,216.0,259.0,933.0,55.0,53.0,6.0,454.0,155.0,65.0,14.45,18.9,22.55,21.0,19.0,15.0,920.74,674.0,667.96,7.08,11.56,11.56,51.42,51.25,50.34,201.38,179.25,3980.0,3018.0,0.0,0.0,0.0,0.0,0.0,0.0
skaters,regular,8477940,2025,Nikolaj Ehlers,CAR,L,5on5,82,64050.0,1328.0,89.31,0.57,0.56,0.61,0.6,0.61,0.58,469.0,167.1,11.86,9.87,42.89,5.63,88.58,69.16,11.64,11.88,11.66,12.0,7.0,145.0,83.0,81.0,309.0,34.0,15.0,14.0,1.0,41.0,0.0,78.0,80.0,130.0,213.0,6.0,12.0,3.0,18.0,20.0,73.0,184.0,36.0,8.0,5.51,4.22,2.13,9.0,5.0,1.0,314.93,228.0,231.44,14.0,2.04,2.4,1.0,12.9,12.92,12.71,1328.0,206.0,102.0,245.0,775.0,244.0,152.0,219.0,713.0,3.0,12.0,180633.0,12.0,32.0,15.0,20.0,650.94,52.93,51.01,53.61,51.66,581.0,302.0,332.0,1215.0,53.0,73.0,10.0,680.0,149.0,54.0,20.54,18.05,14.34,29.0,19.0,5.0,1234.11,883.0,897.22,8.37,12.64,12.67,48.63,49.07,48.21,415.22,39.24,37.86,38.83,37.52,375.0,185.0,232.0,792.0,43.0,46.0,5.0,387.0,136.0,37.0,12.38,16.53,10.33,19.0,18.0,6.0,779.74,560.0,553.96,5.92,9.62,9.62,35.55,35.38,34.87,149.4,117.77,3405.0,2317.0,1.82,0.87,43.0,21.0,26.0,17.0
skaters,regular,8477940,2025,Nikolaj Ehlers,CAR,L,4on5,82,54.0,4.0,10.14,0.88,0.27,0.25,0.32,0.25,0.38,58.0,0.83,0.12,0.04,0.06,0.02,0.2,0.57,0.12,0.12,0.12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.13,0.13,0.13,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2133.0,0.0,0.0,0.0,0.0,0.83,0.12,0.12,0.12,0.12,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.13,0.13,0.13,2.13,0.01,0.01,0.01,0.01,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.04,0.0,0.0,0.05,0.05,0.05,1.01,2.69,16.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
skaters,regular,8477940,2025,Nikolaj Ehlers,CAR,L,5on4,82,13037.0,190.0,85.84,0.86,0.92,0.87,0.91,0.84,0.9,245.0,36.84,3.23,2.65,8.54,1.26,22.91,12.42,3.11,3.23,3.11,9.0,5.0,37.0,14.0,24.0,75.0,21.0,7.0,4.0,0.0,9.0,0.0,17.0,14.0,30.0,44.0,1.0,2.0,6.0,0.0,0.0,11.0,41.0,5.0,5.0,0.99,0.57,1.67,2.0,1.0,4.0,75.0,51.0,51.0,0.0,0.7,0.68,0.05,3.87,3.87,3.72,190.0,67.0,0.0,13.0,110.0,48.0,7.0,37.0,98.0,6.0,0.0,8716.0,2.0,0.0,0.0,0.0,208.98,27.69,26.05,27.69,26.05,185.0,94.0,97.0,376.0,32.0,26.0,2.0,185.0,56.0,38.0,4.77,7.03,15.9,7.0,7.0,18.0,376.0,279.0,279.0,4.84,4.39,4.39,28.14,28.14,27.26,41.09,4.5,4.23,4.5,4.23,48.0,7.0,3.0,58.0,3.0,4.0,1.0,36.0,13.0,6.0,1.0,1.73,1.77,1.0,1.0,1.0,58.0,55.0,55.0,0.48,1.14,1.14,3.84,3.84,3.81,18.8,1.72,268.0,26.0,0.19,0.0,4.0,0.0,2.0,0.0
