entity,season_type,team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
teams,regular,VGK,2025,VGK,VGK,Team Level,other,82,0.47,0.51,0.5,9947.0,170.34,35.49,13.21,31.44,6.01,88.81,55.04,30.86,35.49,30.86,151.0,79.0,77.0,307.0,30.0,19.0,4.0,23.0,0.0,79.0,79.0,121.0,200.0,5.0,10.0,124.0,18.0,19.0,44.0,112.0,71.0,47.0,4.41,9.44,21.63,5.0,7.0,18.0,307.0,230.0,230.0,14.0,3.93,6.72,6.23,33.19,33.19,30.25,174.42,40.16,11.58,31.2,5.43,80.32,61.31,36.59,40.16,36.59,151.0,79.0,65.0,295.0,30.0,14.0,2.0,32.0,0.0,79.0,75.0,121.0,200.0,5.0,10.0,146.0,22.0,19.0,39.0,114.0,61.0,55.0,4.94,7.37,27.85,5.0,8.0,17.0,295.0,230.0,230.0,16.0,3.29,3.98,3.98,39.48,39.48,36.17
teams,regular,VGK,2025,VGK,VGK,Team Level,all,82,0.54,0.52,0.53,300940.0,2652.34,264.89,189.34,628.34,88.51,1406.5,1015.48,250.42,264.59,250.21,2377.0,1217.0,1337.0,4931.0,264.0,289.0,41.0,542.0,3.0,1247.0,1249.0,2113.0,3330.0,249.0,567.0,2349.0,1713.0,363.0,1322.0,2570.0,737.0,287.0,75.54,91.76,97.59,82.0,97.0,85.0,4905.19,3594.0,3576.33,557.0,42.7,61.34,61.34,246.18,246.06,238.4,2335.63,225.49,157.74,564.43,80.11,1250.82,915.4,214.58,226.98,216.03,2000.0,1194.0,1284.0,4478.0,242.0,246.0,31.0,421.0,5.0,1160.0,1120.0,1758.0,2952.0,274.0,619.0,2261.0,1739.0,407.0,1200.0,2383.0,570.0,241.0,71.12,69.37,85.01,98.0,79.0,65.0,4518.29,3194.0,3224.22,564.0,35.03,45.71,45.71,214.82,216.2,208.68
teams,regular,VGK,2025,VGK,VGK,Team Level,5on5,82,0.54,0.52,0.53,250337.0,2084.11,175.04,139.05,514.67,69.12,1108.0,832.18,168.41,174.73,168.2,1865.0,974.0,1117.0,3956.0,174.0,203.0,26.0,448.0,2.0,1011.0,1001.0,1691.0,2665.0,224.0,519.0,1856.0,1633.0,305.0,1183.0,2141.0,534.0,164.0,62.86,66.38,45.8,70.0,72.0,32.0,3930.19,2839.0,2821.33,515.0,29.04,41.01,41.1,162.91,162.79,160.16,1846.57,146.79,120.19,468.51,64.09,999.77,736.64,141.82,148.28,143.27,1561.0,975.0,1070.0,3606.0,172.0,198.0,26.0,336.0,3.0,936.0,891.0,1389.0,2364.0,248.0,565.0,1779.0,1668.0,342.0,1053.0,1985.0,412.0,139.0,58.12,50.57,38.1,86.0,60.0,26.0,3646.29,2536.0,2566.22,499.0,25.01,35.36,35.52,136.28,137.66,135.43
teams,regular,VGK,2025,VGK,VGK,Team Level,4on5,82,0.14,0.11,0.13,19494.0,43.35,5.79,2.58,6.68,1.42,13.17,26.37,5.46,5.79,5.46,44.0,12.0,7.0,63.0,6.0,6.0,1.0,2.0,0.0,5.0,37.0,38.0,50.0,2.0,4.0,150.0,58.0,22.0,31.0,28.0,17.0,11.0,0.85,2.19,2.75,1.0,3.0,2.0,63.0,56.0,56.0,22.0,0.59,1.3,1.3,5.07,5.07,4.98,265.18,34.16,23.42,57.54,8.97,154.61,82.32,31.84,34.16,31.84,237.0,124.0,145.0,506.0,36.0,31.0,3.0,49.0,2.0,134.0,109.0,201.0,325.0,17.0,34.0,179.0,14.0,14.0,61.0,238.0,80.0,43.0,6.87,9.21,18.07,7.0,7.0,22.0,506.0,361.0,361.0,9.0,6.16,5.83,5.67,34.65,34.65,32.7
teams,regular,VGK,2025,VGK,VGK,Team Level,5on4,82,0.92,0.9,0.88,21162.0,354.54,48.57,34.52,75.55,11.96,196.51,101.89,45.69,48.57,45.69,317.0,152.0,136.0,605.0,54.0,61.0,10.0,69.0,1.0,152.0,132.0,263.0,415.0,18.0,34.0,219.0,4.0,17.0,64.0,289.0,115.0,65.0,7.43,13.73,27.4,6.0,15.0,33.0,605.0,469.0,469.0,6.0,9.15,12.31,12.71,45.01,45.01,43.01,49.45,4.38,2.55,7.19,1.62,16.12,35.14,4.32,4.38,4.32,51.0,16.0,4.0,71.0,4.0,3.0,0.0,4.0,0.0,11.0,45.0,47.0,63.0,4.0,10.0,157.0,35.0,32.0,47.0,46.0,17.0,4.0,1.18,2.21,0.98,0.0,4.0,0.0,71.0,67.0,67.0,40.0,0.58,0.54,0.54,4.42,4.42,4.39
teams,regular,CAR,2025,CAR,CAR,Team Level,other,82,0.59,0.58,0.57,11604.0,188.29,42.63,12.62,33.61,6.18,98.37,62.59,39.82,42.63,39.82,155.0,101.0,102.0,358.0,46.0,9.0,1.0,25.0,0.0,104.0,72.0,109.0,210.0,9.0,18.0,133.0,34.0,24.0,35.0,122.0,79.0,55.0,4.74,9.7,28.2,9.0,12.0,25.0,358.0,256.0,256.0,17.0,3.68,3.11,3.11,43.2,43.2,40.92,139.93,30.2,10.07,27.27,5.0,72.88,44.58,28.83,30.2,28.83,118.0,72.0,64.0,254.0,30.0,13.0,2.0,17.0,0.0,77.0,53.0,88.0,160.0,10.0,20.0,153.0,29.0,19.0,52.0,96.0,47.0,47.0,3.81,5.68,20.7,5.0,6.0,19.0,254.0,190.0,190.0,25.0,2.86,3.62,3.62,29.43,29.43,28.45
teams,regular,CAR,2025,CAR,CAR,Team Level,all,82,0.56,0.59,0.59,299814.0,3075.26,300.64,205.63,759.64,103.51,1622.84,1174.74,285.77,303.09,288.1,2638.0,1529.0,1584.0,5751.0,291.0,312.0,28.0,644.0,4.0,1525.0,1391.0,2347.0,3876.0,278.0,588.0,2495.0,1635.0,470.0,1325.0,3072.0,767.0,328.0,94.41,94.64,111.6,106.0,105.0,80.0,5835.07,4167.0,4224.98,571.0,45.82,60.35,60.63,285.83,287.92,279.87,2192.66,235.15,154.92,516.37,73.94,1135.92,833.7,224.03,233.97,222.93,1963.0,987.0,1001.0,3951.0,236.0,259.0,29.0,349.0,3.0,1006.0,1097.0,1727.0,2714.0,286.0,605.0,2483.0,1930.0,354.0,1360.0,2032.0,656.0,262.0,64.53,80.32,90.29,71.0,96.0,69.0,3906.3,2950.0,2922.58,692.0,34.93,55.97,55.97,214.11,213.41,208.04
teams,regular,CAR,2025,CAR,CAR,Team Level,5on5,82,0.56,0.6,0.59,244683.0,2432.9,202.33,155.95,633.78,82.19,1286.38,944.36,193.83,204.78,196.16,2073.0,1232.0,1315.0,4620.0,185.0,256.0,21.0,535.0,3.0,1201.0,1125.0,1888.0,3120.0,243.0,512.0,1958.0,1540.0,391.0,1138.0,2549.0,548.0,208.0,78.0,67.9,56.42,82.0,76.0,27.0,4704.06,3305.0,3362.98,503.0,32.57,47.74,48.01,186.89,188.97,185.29,1706.56,157.01,115.17,418.34,57.29,888.03,666.14,150.82,155.84,149.73,1521.0,781.0,807.0,3109.0,160.0,193.0,16.0,290.0,3.0,787.0,869.0,1361.0,2142.0,245.0,514.0,1928.0,1818.0,297.0,1199.0,1644.0,511.0,147.0,52.14,62.84,42.03,61.0,76.0,23.0,3064.3,2302.0,2274.58,633.0,24.15,38.91,39.57,141.6,140.9,138.5
teams,regular,CAR,2025,CAR,CAR,Team Level,4on5,82,0.18,0.2,0.23,21718.0,88.47,9.18,4.71,13.11,2.71,27.3,58.99,8.72,9.18,8.72,86.0,30.0,12.0,128.0,9.0,9.0,2.0,14.0,0.0,20.0,64.0,77.0,107.0,7.0,17.0,172.0,50.0,40.0,57.0,72.0,36.0,8.0,2.42,4.62,2.14,2.0,5.0,2.0,128.0,116.0,116.0,40.0,1.07,1.45,1.45,8.79,8.79,8.57,287.21,41.73,26.69,61.65,9.64,155.87,83.43,38.44,41.73,38.44,258.0,121.0,125.0,504.0,42.0,49.0,10.0,41.0,0.0,134.0,113.0,216.0,337.0,16.0,35.0,220.0,25.0,8.0,74.0,240.0,78.0,61.0,7.04,9.18,25.5,4.0,12.0,26.0,504.0,379.0,379.0,4.0,7.24,12.3,11.64,37.31,37.31,35.38
teams,regular,CAR,2025,CAR,CAR,Team Level,5on4,82,0.88,0.88,0.86,21809.0,365.59,46.5,32.35,79.13,12.44,210.79,108.8,43.4,46.5,43.4,324.0,166.0,155.0,645.0,51.0,38.0,4.0,70.0,1.0,200.0,130.0,273.0,439.0,19.0,41.0,232.0,11.0,15.0,95.0,329.0,104.0,57.0,9.25,12.41,24.83,13.0,12.0,26.0,645.0,490.0,490.0,11.0,8.51,8.05,8.05,46.95,46.95,45.1,58.97,6.22,2.99,9.11,2.01,19.14,39.54,5.94,6.22,5.94,66.0,13.0,5.0,84.0,4.0,4.0,1.0,1.0,0.0,8.0,62.0,62.0,75.0,15.0,36.0,182.0,58.0,30.0,35.0,52.0,20.0,7.0,1.54,2.62,2.06,1.0,2.0,1.0,84.0,79.0,79.0,30.0,0.69,1.14,1.14,5.77,5.77,5.72
