source_report,game_type,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
nhl_team_summary,2,0.493212,82,238,2.90243,261,3.18292,30,9,0.816733,0.800797,0.57926,95,0.13278,0.178423,41,20252026,28.13414,28.04878,Washington Capitals,15,5,,43,37,2
nhl_team_summary,2,0.505188,82,253,3.08536,226,2.75609,37,3,0.826923,0.79327,0.53048,87,0.2,0.219512,38,20252026,27.36585,29.58536,New Jersey Devils,1,2,,42,29,4
nhl_team_summary,2,0.509544,82,242,2.95121,264,3.21951,26,17,0.843137,0.813726,0.57926,95,0.220338,0.245762,38,20252026,24.39024,28.9878,Vegas Golden Knights,54,3,,39,30,1
nhl_team_summary,2,0.493092,82,314,3.82926,210,2.56097,49,8,0.754385,0.714913,0.35365,58,0.192307,0.217948,19,20252026,29.81707,25.96341,Vancouver Canucks,23,2,,25,15,6
nhl_team_summary,2,0.479983,82,288,3.51219,265,3.2317,33,6,0.794573,0.763566,0.56097,92,0.162878,0.185606,35,20252026,28.36585,30.80487,Anaheim Ducks,24,0,,43,26,8
nhl_team_summary,2,0.493662,82,254,3.09756,230,2.80487,33,12,0.793721,0.766817,0.52439,86,0.157407,0.175925,36,20252026,27.70731,25.32926,St. Louis Blues,19,7,,37,33,1
nhl_team_summary,2,0.515944,82,222,2.70731,273,3.32926,20,12,0.819277,0.803213,0.68292,112,0.258064,0.28629,44,20252026,26.15853,25.29268,Dallas Stars,25,5,,50,38,6
nhl_team_summary,2,0.510032,82,254,3.09756,239,2.91463,31,10,0.785714,0.771429,0.56097,92,0.205645,0.225806,39,20252026,27.7439,28.2439,Detroit Red Wings,17,5,,41,30,2
nhl_team_summary,2,0.545119,82,245,2.9878,275,3.35365,27,11,0.791489,0.757447,0.60365,99,0.21673,0.239543,41,20252026,24.40243,28.91463,Ottawa Senators,9,4,,44,38,3
nhl_team_summary,2,0.511055,82,256,3.12195,229,2.79268,35,12,0.802631,0.776316,0.5,82,0.162995,0.185022,33,20252026,27.76829,26.36585,Winnipeg Jets,52,0,,35,28,2
nhl_team_summary,2,0.512164,82,197,2.40243,298,3.63414,16,11,0.8547,0.846154,0.7378,121,0.121673,0.171102,51,20252026,26.13414,33.7317,Colorado Avalanche,21,8,,55,48,4
nhl_team_summary,2,0.504733,82,267,3.25609,242,2.95121,34,10,0.849593,0.817074,0.52439,86,0.222689,0.231092,33,20252026,29.62195,27.86585,Nashville Predators,18,1,,38,28,5
nhl_team_summary,2,0.530607,82,247,3.01219,268,3.26829,27,10,0.776978,0.769785,0.60975,100,0.195744,0.234042,41,20252026,29.69512,27.02439,Boston Bruins,6,3,,45,33,4
nhl_team_summary,2,0.50568,82,251,3.06097,246,3.0,30,12,0.782805,0.760181,0.56097,92,0.164179,0.189054,33,20252026,28.84146,29.39024,Columbus Blue Jackets,29,3,,40,28,7
