team,unit_type,unit,slot,player_id,player,position,source
VGK,forward,F1,1,8477964,Ivan Barbashev,L,dailyfaceoff_line_combinations
VGK,forward,F1,2,8478403,Jack Eichel,C,dailyfaceoff_line_combinations
VGK,forward,F1,3,8481604,Pavel Dorofeyev,R,dailyfaceoff_line_combinations
VGK,forward,F2,1,8479353,Brett Howden,C,dailyfaceoff_line_combinations
VGK,forward,F2,2,8476448,William Karlsson,C,dailyfaceoff_line_combinations
VGK,forward,F2,3,8478483,Mitch Marner,R,dailyfaceoff_line_combinations
VGK,forward,F3,1,8476881,Tomas Hertl,C,dailyfaceoff_line_combinations
VGK,forward,F3,2,8476925,Colton Sissons,C,dailyfaceoff_line_combinations
VGK,forward,F3,3,8475913,Mark Stone,R,dailyfaceoff_line_combinations
VGK,forward,F4,1,8482062,Cole Smith,R,dailyfaceoff_line_combinations
VGK,forward,F4,2,8475343,Nic Dowd,C,dailyfaceoff_line_combinations
VGK,forward,F4,3,8478434,Keegan Kolesar,R,dailyfaceoff_line_combinations
VGK,defense,D1,1,8475188,Brayden McNabb,D,dailyfaceoff_line_combinations
VGK,defense,D1,2,8477447,Shea Theodore,D,dailyfaceoff_line_combinations
VGK,defense,D2,1,8478396,Noah Hanifin,D,dailyfaceoff_line_combinations
VGK,defense,D2,2,8478397,Rasmus Andersson,D,dailyfaceoff_line_combinations
VGK,defense,D3,1,8478468,Jeremy Lauzon,D,dailyfaceoff_line_combinations
VGK,defense,D3,2,8479639,Dylan Coghlan,D,dailyfaceoff_line_combinations
VGK,goalie,G,1,8479394,Carter Hart,G,dailyfaceoff_line_combinations
VGK,goalie,G,2,8478499,Adin Hill,G,dailyfaceoff_line_combinations
CAR,forward,F1,1,8480830,Andrei Svechnikov,R,dailyfaceoff_line_combinations
CAR,forward,F1,2,8478427,Sebastian Aho,C,dailyfaceoff_line_combinations
CAR,forward,F1,3,8476921,Jordan Martinook,L,dailyfaceoff_line_combinations
CAR,forward,F2,1,8475791,Taylor Hall,L,dailyfaceoff_line_combinations
CAR,forward,F2,2,8482702,Logan Stankoven,C,dailyfaceoff_line_combinations
CAR,forward,F2,3,8482809,Jackson Blake,R,dailyfaceoff_line_combinations
CAR,forward,F3,1,8477940,Nikolaj Ehlers,L,dailyfaceoff_line_combinations
CAR,forward,F3,2,8473533,Jordan Staal,C,dailyfaceoff_line_combinations
CAR,forward,F3,3,8482093,Seth Jarvis,R,dailyfaceoff_line_combinations
CAR,forward,F4,1,8477478,William Carrier,L,dailyfaceoff_line_combinations
CAR,forward,F4,2,8476873,Mark Jankowski,L,dailyfaceoff_line_combinations
CAR,forward,F4,3,8480762,Eric Robinson,L,dailyfaceoff_line_combinations
CAR,defense,D1,1,8476958,Jaccob Slavin,D,dailyfaceoff_line_combinations
CAR,defense,D1,2,8478970,Jalen Chatfield,D,dailyfaceoff_line_combinations
CAR,defense,D2,1,8480817,K'Andre Miller,D,dailyfaceoff_line_combinations
CAR,defense,D2,2,8480336,Sean Walker,D,dailyfaceoff_line_combinations
CAR,defense,D3,1,8476906,Shayne Gostisbehere,D,dailyfaceoff_line_combinations
CAR,defense,D3,2,8482100,Alexander Nikishin,D,dailyfaceoff_line_combinations
CAR,goalie,G,1,8475883,Frederik Andersen,G,dailyfaceoff_line_combinations
CAR,goalie,G,2,8483548,Brandon Bussi,G,dailyfaceoff_line_combinations
