team,player_id,player,position,player_type,sweater_number,shoots_catches,height_inches,weight_pounds,birth_date,birth_country,headshot
VGK,8477964,Ivan Barbashev,L,skater,49,L,72,203,1995-12-14,RUS,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477964.png
VGK,8483890,Braeden Bowman,R,skater,42,R,73,205,2003-06-26,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8483890.png
VGK,8484803,Trevor Connelly,L,skater,24,L,73,175,2006-02-28,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8484803.png
VGK,8481604,Pavel Dorofeyev,R,skater,16,L,73,194,2000-10-26,RUS,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481604.png
VGK,8475343,Nic Dowd,C,skater,26,R,74,195,1990-05-27,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475343.png
VGK,8478403,Jack Eichel,C,skater,9,R,74,208,1996-10-28,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478403.png
VGK,8476881,Tomas Hertl,C,skater,48,L,75,220,1993-11-12,CZE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476881.png
VGK,8482125,Alexander Holtz,R,skater,11,R,72,198,2002-01-23,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482125.png
VGK,8479353,Brett Howden,C,skater,21,L,74,201,1998-03-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479353.png
VGK,8476448,William Karlsson,C,skater,71,L,72,190,1993-01-08,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476448.png
VGK,8478434,Keegan Kolesar,R,skater,55,R,74,216,1997-04-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478434.png
VGK,8479550,Tanner Laczynski,C,skater,28,R,73,211,1997-06-01,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479550.png
VGK,8481534,Raphael Lavoie,C,skater,36,R,76,217,2000-09-25,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481534.png
VGK,8478483,Mitch Marner,R,skater,93,R,72,180,1997-05-05,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478483.png
VGK,8480007,Jonas Rondbjerg,R,skater,46,L,74,206,1999-03-31,DNK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8480007.png
VGK,8476438,Brandon Saad,L,skater,20,L,73,207,1992-10-27,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476438.png
VGK,8476925,Colton Sissons,C,skater,10,R,73,200,1993-11-05,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476925.png
VGK,8482062,Cole Smith,R,skater,22,L,75,195,1995-10-28,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482062.png
VGK,8475191,Reilly Smith,R,skater,19,L,73,185,1991-04-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475191.png
VGK,8475913,Mark Stone,R,skater,61,R,75,210,1992-05-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475913.png
VGK,8485251,Kai Uchacz,C,skater,77,R,74,206,2003-06-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8485251.png
VGK,8478397,Rasmus Andersson,D,skater,4,R,73,202,1996-10-27,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478397.png
VGK,8479639,Dylan Coghlan,D,skater,52,R,74,205,1998-02-19,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479639.png
VGK,8479602,Jeremy Davies,D,skater,84,L,71,190,1996-12-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479602.png
VGK,8478396,Noah Hanifin,D,skater,15,L,75,206,1997-01-25,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478396.png
VGK,8477018,Ben Hutton,D,skater,17,L,75,209,1993-04-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477018.png
VGK,8481527,Kaedan Korczak,D,skater,6,R,75,206,2001-01-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481527.png
VGK,8478468,Jeremy Lauzon,D,skater,5,L,75,225,1997-04-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478468.png
VGK,8475188,Brayden McNabb,D,skater,3,L,76,215,1991-01-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475188.png
VGK,8477034,Jaycob Megna,D,skater,88,L,78,214,1992-12-10,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477034.png
VGK,8477447,Shea Theodore,D,skater,27,L,74,197,1995-08-03,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477447.png
VGK,8479394,Carter Hart,G,goalie,79,L,74,196,1998-08-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479394.png
VGK,8478499,Adin Hill,G,goalie,33,L,76,222,1996-05-11,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478499.png
VGK,8482761,Carl Lindbom,G,goalie,30,L,73,186,2003-05-20,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482761.png
VGK,8481033,Akira Schmid,G,goalie,40,L,77,190,2000-05-12,CHE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481033.png
CAR,8478427,Sebastian Aho,C,skater,20,L,72,189,1997-07-26,FIN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478427.png
CAR,8482809,Jackson Blake,R,skater,53,R,71,185,2003-08-03,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482809.png
CAR,8477478,William Carrier,L,skater,28,L,74,214,1994-12-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477478.png
CAR,8475235,Nicolas Deslauriers,L,skater,44,L,73,218,1991-02-22,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475235.png
CAR,8477940,Nikolaj Ehlers,L,skater,27,L,72,168,1996-02-14,DNK,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477940.png
CAR,8475791,Taylor Hall,L,skater,71,L,73,210,1991-11-14,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475791.png
CAR,8476873,Mark Jankowski,L,skater,77,L,76,200,1994-09-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476873.png
