event_id,game_date,season_type,away_team,home_team,target_home_win,bet_side,skip_reason,candidate_side,candidate_team,candidate_won,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after
401810828,2026-03-14,2,Charlotte Hornets,San Antonio Spurs,1,away,,away,Charlotte Hornets,False,Charlotte Hornets,200,3.0,0.371643602848053,0.3194444444444444,0.3333333333333333,0.038310269514719664,0.05219915840360856,0.6805555555555556,0.05746540427207947,0.014366351068019867,28.732702136039734,False,-28.732702136039734,1971.2672978639603
401810829,2026-03-15,2,Denver Nuggets,Los Angeles Lakers,1,skip,no_positive_kelly,away,Denver Nuggets,False,,-122,1.819672131147541,0.5354610681533813,0.5260865852617198,0.5495495495495495,-0.01408848139616814,0.00937448289166154,0.4739134147382802,0.0,0.0,0.0,,0.0,1971.2672978639603
401810830,2026-03-15,2,Sacramento Kings,LA Clippers,0,away,,away,Sacramento Kings,True,Sacramento Kings,625,7.25,0.2861291766166687,0.13228346456692908,0.13793103448275862,0.14819814213391008,0.15384571204973962,0.8677165354330709,0.1719098448753357,0.042977461218833925,84.7200638459039,True,529.5003990368994,2500.76769690086
401810831,2026-03-15,2,Minnesota Timberwolves,Oklahoma City Thunder,1,skip,market_disagreement,away,Minnesota Timberwolves,False,,300,4.0,0.5281653702259064,0.23999999999999988,0.25,0.27816537022590637,0.2881653702259065,0.7600000000000001,0.3708871603012085,0.0,0.0,,0.0,2500.76769690086
401810832,2026-03-15,2,Dallas Mavericks,Cleveland Cavaliers,0,away,,away,Dallas Mavericks,True,Dallas Mavericks,750,8.5,0.28099554777145386,0.11304347826086958,0.11764705882352941,0.16334848894792445,0.16795206951058428,0.8869565217391304,0.18512828747431437,0.04628207186857859,115.74071027458535,True,868.0553270593902,3368.82302396025
401810835,2026-03-15,2,Portland Trail Blazers,Philadelphia 76ers,1,skip,market_disagreement,home,Philadelphia 76ers,True,,270,3.7,0.5291963219642639,0.2591283863368669,0.27027027027027023,0.2589260516939937,0.270067935627397,0.2591283863368669,0.3548245893584358,0.0,0.0,,0.0,3368.82302396025
401810836,2026-03-16,2,Golden State Warriors,New York Knicks,1,skip,market_disagreement,away,Golden State Warriors,False,,625,7.25,0.4849354028701782,0.13228346456692908,0.13793103448275862,0.3470043683874196,0.35265193830324915,0.8677165354330709,0.40252506732940674,0.0,0.0,,0.0,3368.82302396025
401810838,2026-03-16,2,Orlando Magic,Atlanta Hawks,1,home,,home,Atlanta Hawks,True,Atlanta Hawks,-155,1.6451612903225805,0.6327191591262817,0.5829926410466066,0.607843137254902,0.024876021871379717,0.0497265180796751,0.5829926410466066,0.0634338557720183,0.015858463943004573,53.42435845583726,True,34.46732803602403,3403.290351996274
401810842,2026-03-17,2,Memphis Grizzlies,Chicago Bulls,1,away,,away,Memphis Grizzlies,False,Memphis Grizzlies,225,3.25,0.3701745867729187,0.294966835739368,0.3076923076923077,0.06248227908061099,0.07520775103355071,0.705033164260632,0.0902521808942159,0.022563045223553974,76.78859412097685,False,-76.78859412097685,3326.501757875297
401810843,2026-03-17,2,Dallas Mavericks,New Orleans Pelicans,1,away,,away,Dallas Mavericks,False,Dallas Mavericks,270,3.7,0.37787312269210815,0.25912838633686697,0.27027027027027023,0.10760285242183792,0.11874473635524119,0.740871613663133,0.1474557607262223,0.036863940181555574,122.62796181615441,False,-122.62796181615441,3203.8737960591425
401810847,2026-03-17,2,Oklahoma City Thunder,Orlando Magic,0,skip,market_disagreement,home,Orlando Magic,False,,350,4.5,0.48845016956329346,0.2132564841498559,0.2222222222222222,0.26622794734107125,0.2751936854134376,0.2132564841498559,0.3422930751528059,0.0,0.0,,0.0,3203.8737960591425
401810850,2026-03-18,2,Cleveland Cavaliers,Milwaukee Bucks,0,home,,home,Milwaukee Bucks,False,Milwaukee Bucks,455,5.55,0.4095347225666046,0.17287630402384502,0.1801801801801802,0.22935454238642441,0.2366584185427596,0.17287630402384502,0.2797621341197045,0.06994053352992613,224.08064265892617,False,-224.08064265892617,2979.7931534002164
401810853,2026-03-18,2,San Antonio Spurs,Sacramento Kings,0,skip,market_disagreement,home,Sacramento Kings,False,,575,6.75,0.41159701347351074,0.14205607476635515,0.14814814814814814,0.2634488653253626,0.26954093870715556,0.14205607476635515,0.30926605929499085,0.0,0.0,,0.0,2979.7931534002164
401810854,2026-03-18,2,Golden State Warriors,Boston Celtics,1,skip,market_disagreement,away,Golden State Warriors,False,,455,5.55,0.47528910636901855,0.17287630402384502,0.1801801801801802,0.2951089261888383,0.30241280234517354,0.827123695976155,0.35996803084572593,0.0,0.0,,0.0,2979.7931534002164
401810856,2026-03-18,2,Portland Trail Blazers,Indiana Pacers,0,skip,market_disagreement,home,Indiana Pacers,False,,490,5.9,0.41567328572273254,0.16290068313189698,0.1694915254237288,0.24618176029900374,0.25277260259083556,0.16290068313189698,0.296422935870229,0.0,0.0,,0.0,2979.7931534002164
401810860,2026-03-19,2,LA Clippers,New Orleans Pelicans,1,away,,away,LA Clippers,False,LA Clippers,-130,1.7692307692307692,0.5771510303020477,0.5427435387673956,0.5652173913043479,0.011933638997699836,0.03440749153465217,0.4572564612326044,0.027447369694709702,0.0068618424236774255,20.44687107378514,False,-20.44687107378514,2959.3462823264313
401810862,2026-03-19,2,Los Angeles Lakers,Houston Rockets,0,away,,away,Los Angeles Lakers,True,Los Angeles Lakers,110,2.1,0.48747187852859497,0.4572564612326043,0.47619047619047616,0.011281402338118807,0.030215417295990643,0.5427435387673957,0.02153722264549957,0.005384305661374892,15.934024941898944,True,17.52742743608884,2976.8737097625203
401810864,2026-03-19,2,Detroit Pistons,Washington Wizards,0,skip,market_disagreement,home,Washington Wizards,False,,750,8.5,0.4101521372795105,0.11304347826086955,0.11764705882352941,0.29250507845598106,0.2971086590186409,0.11304347826086955,0.33150575558344525,0.0,0.0,,0.0,2976.8737097625203
401858693,2026-03-19,2,Denver Nuggets,Memphis Grizzlies,1,skip,market_disagreement,home,Memphis Grizzlies,True,,525,6.25,0.45076215267181396,0.15349887133182846,0.16,0.29076215267181393,0.2972632813399855,0.15349887133182846,0.34614541984739755,0.0,0.0,,0.0,2976.8737097625203
401810867,2026-03-20,2,LA Clippers,New Orleans Pelicans,1,away,,away,LA Clippers,False,LA Clippers,140,2.4,0.5584295094013214,0.40036122817579767,0.4166666666666667,0.14176284273465473,0.15806828122552374,0.5996387718242023,0.243022016116551,0.06075550402913775,180.86146266771104,False,-180.86146266771104,2796.0122470948095
401810870,2026-03-20,2,Philadelphia 76ers,Sacramento Kings,0,home,,home,Sacramento Kings,False,Sacramento Kings,124,2.24,0.4467587172985077,0.42794036443953615,0.4464285714285714,0.0003301458699362936,0.018818352858971543,0.42794036443953615,0.0005963925392397524,0.0001490981348099381,0.4168802109475799,False,-0.4168802109475799,2795.595366883862
