game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-04-13,401811054,Golden State Warriors at LA Clippers,110-115,away,away,Golden State Warriors,Golden State Warriors,LA Clippers,LOSS,,44.48,40.66,42.37,2.1,3.81,136,2.36,3.65,0.91,18.26,-18.26,1981.74
2026-04-18,401869187,Toronto Raptors at Cleveland Cavaliers,113-126,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,47.81,24.28,25.32,22.49,23.53,295,3.95,30.12,7.53,149.22,-149.22,1832.51
2026-04-18,401869188,Minnesota Timberwolves at Denver Nuggets,105-116,away,away,Minnesota Timberwolves,Minnesota Timberwolves,Denver Nuggets,LOSS,,33.94,29.98,31.25,2.69,3.95,220,3.2,3.91,0.98,17.9,-17.9,1814.61
2026-04-18,401869189,Atlanta Hawks at New York Knicks,102-113,skip,away,Atlanta Hawks,,New York Knicks,SKIP,no_positive_kelly,32.72,32.5,33.9,-1.18,0.22,195,2.95,0.0,0.0,0.0,0.0,1814.61
2026-04-19,401869190,Houston Rockets at Los Angeles Lakers,98-107,skip,home,Los Angeles Lakers,,Los Angeles Lakers,SKIP,no_positive_kelly,45.26,44.86,46.73,-1.46,0.41,114,2.14,0.0,0.0,0.0,0.0,1814.61
2026-04-19,401869191,Philadelphia 76ers at Boston Celtics,91-123,away,away,Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,LOSS,,36.8,14.21,14.81,21.99,22.59,575,6.75,25.81,6.45,117.08,-117.08,1697.53
2026-04-19,401869192,Phoenix Suns at Oklahoma City Thunder,84-119,away,away,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,32.96,10.11,10.53,22.44,22.85,850,9.5,25.08,6.27,106.42,-106.42,1591.11
2026-04-19,401869193,Orlando Magic at Detroit Pistons,112-101,away,away,Orlando Magic,Orlando Magic,Orlando Magic,WIN,,32.37,23.41,24.39,7.98,8.96,310,4.1,10.56,2.64,42.0,130.21,1721.32
2026-04-20,401869194,Portland Trail Blazers at San Antonio Spurs,98-111,away,away,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,32.53,16.0,16.67,15.86,16.53,500,6.0,19.04,4.76,81.92,-81.92,1639.4
2026-04-20,401869369,Toronto Raptors at Cleveland Cavaliers,105-115,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,35.25,21.33,22.22,13.03,13.92,350,4.5,16.75,4.19,68.64,-68.64,1570.76
2026-04-21,401869387,Atlanta Hawks at New York Knicks,107-106,skip,away,Atlanta Hawks,,Atlanta Hawks,SKIP,no_positive_kelly,32.54,31.94,33.33,-0.79,0.6,200,3.0,0.0,0.0,0.0,0.0,1570.76
2026-04-21,401869395,Minnesota Timberwolves at Denver Nuggets,119-114,away,away,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,33.2,28.2,29.41,3.79,5.0,240,3.4,5.37,1.34,21.08,50.6,1621.36
2026-04-21,401869396,Philadelphia 76ers at Boston Celtics,111-97,away,away,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,WIN,,33.66,14.21,14.81,18.84,19.45,575,6.75,22.12,5.53,89.66,515.57,2136.92
2026-04-22,401869378,Portland Trail Blazers at San Antonio Spurs,106-103,away,away,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,WIN,,32.37,16.84,17.54,14.83,15.54,470,5.7,17.98,4.5,96.07,451.53,2588.45
2026-04-22,401869397,Houston Rockets at Los Angeles Lakers,94-101,home,home,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,49.25,33.1,34.48,14.77,16.16,190,2.9,22.55,5.64,145.9,277.21,2865.66
2026-04-22,401869411,Orlando Magic at Detroit Pistons,83-98,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,32.59,25.59,26.67,5.92,6.99,275,3.75,8.07,2.02,57.83,-57.83,2807.84
2026-04-23,401869368,Phoenix Suns at Oklahoma City Thunder,107-120,away,away,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,32.54,8.76,9.09,23.45,23.78,1000,11.0,25.79,6.45,181.04,-181.04,2626.8
2026-04-23,401869389,New York Knicks at Atlanta Hawks,108-109,home,home,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,WIN,,54.02,49.57,51.92,2.09,4.45,-108,1.926,4.35,1.09,28.59,26.47,2653.27
2026-04-24,401869375,Cleveland Cavaliers at Toronto Raptors,104-126,skip,home,Toronto Raptors,,Toronto Raptors,SKIP,no_positive_kelly,44.12,42.79,44.64,-0.53,1.32,124,2.24,0.0,0.0,0.0,0.0,2653.27
2026-04-24,401869398,Denver Nuggets at Minnesota Timberwolves,96-113,away,away,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,LOSS,,54.57,49.57,51.92,2.64,5.0,-108,1.926,5.5,1.37,36.47,-36.47,2616.8
2026-04-24,401869404,Boston Celtics at Philadelphia 76ers,108-100,home,home,Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,LOSS,,47.93,25.22,26.32,21.61,22.71,280,3.8,29.33,7.33,191.87,-191.87,2424.93
2026-04-25,401869370,Oklahoma City Thunder at Phoenix Suns,121-109,home,home,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,42.81,24.28,25.32,17.5,18.53,295,3.95,23.43,5.86,142.03,-142.03,2282.89
2026-04-25,401869382,San Antonio Spurs at Portland Trail Blazers,120-108,away,away,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,WIN,,57.19,52.61,54.95,2.23,4.58,-122,1.82,4.96,1.24,28.29,23.19,2306.08
2026-04-25,401869391,New York Knicks at Atlanta Hawks,114-98,home,home,Atlanta Hawks,Atlanta Hawks,New York Knicks,LOSS,,58.45,45.73,47.62,10.83,12.72,110,2.1,20.67,5.17,119.18,-119.18,2186.9
2026-04-25,401869400,Los Angeles Lakers at Houston Rockets,112-108,away,away,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,42.75,31.46,32.79,9.96,11.28,205,3.05,14.82,3.7,81.0,166.05,2352.96
2026-04-25,401869414,Detroit Pistons at Orlando Magic,105-113,away,away,Detroit Pistons,Detroit Pistons,Orlando Magic,LOSS,,57.16,53.25,55.56,1.61,3.92,-125,1.8,3.62,0.9,21.28,-21.28,2331.67
2026-04-26,401869377,Cleveland Cavaliers at Toronto Raptors,89-93,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,49.18,37.75,39.37,9.81,11.43,154,2.54,16.18,4.05,94.33,145.27,2476.94
2026-04-26,401869385,San Antonio Spurs at Portland Trail Blazers,114-93,home,home,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,42.84,33.64,35.09,7.75,9.2,185,2.85,11.94,2.98,73.93,-73.93,2403.01
2026-04-26,401869399,Denver Nuggets at Minnesota Timberwolves,96-112,home,home,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,60.81,48.26,50.5,10.31,12.54,-102,1.98,20.83,5.21,125.14,122.69,2525.69
2026-04-26,401869406,Boston Celtics at Philadelphia 76ers,128-96,home,home,Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,LOSS,,43.56,33.1,34.48,9.08,10.46,190,2.9,13.85,3.46,87.48,-87.48,2438.22
2026-04-27,401869405,Los Angeles Lakers at Houston Rockets,96-115,away,away,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,LOSS,,44.84,40.66,42.37,2.47,4.17,136,2.36,4.28,1.07,26.07,-26.07,2412.14
2026-04-28,401869373,Oklahoma City Thunder at Phoenix Suns,131-122,home,home,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,42.85,19.18,20.0,22.85,23.66,400,5.0,28.56,7.14,172.23,-172.23,2239.92
2026-04-28,401869401,Minnesota Timberwolves at Denver Nuggets,113-125,skip,away,Minnesota Timberwolves,,Denver Nuggets,SKIP,market_disagreement,55.51,19.57,20.41,35.1,35.94,390,4.9,44.1,0.0,0.0,0.0,2239.92
2026-04-28,401869408,Philadelphia 76ers at Boston Celtics,113-97,away,away,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,WIN,,32.87,21.81,22.73,10.15,11.06,340,4.4,13.13,3.28,73.53,249.99,2489.91
2026-04-28,401869415,Detroit Pistons at Orlando Magic,88-94,home,home,Orlando Magic,Orlando Magic,Orlando Magic,WIN,,42.83,40.04,41.67,1.17,2.8,140,2.4,2.0,0.5,12.45,17.43,2507.34
2026-04-29,401869380,Toronto Raptors at Cleveland Cavaliers,120-125,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,46.91,23.41,24.39,22.52,23.5,310,4.1,29.79,7.45,186.72,-186.72,2320.62
2026-04-29,401869386,Portland Trail Blazers at San Antonio Spurs,95-114,away,away,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,32.31,18.27,19.05,13.27,14.04,425,5.25,16.39,4.1,95.07,-95.07,2225.55
2026-04-29,401869392,Atlanta Hawks at New York Knicks,97-126,skip,away,Atlanta Hawks,,New York Knicks,SKIP,no_positive_kelly,32.45,31.46,32.79,-0.34,0.99,205,3.05,0.0,0.0,0.0,0.0,2225.55
2026-04-29,401869416,Orlando Magic at Detroit Pistons,109-116,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,32.89,21.33,22.22,10.67,11.56,350,4.5,13.71,3.43,76.29,-76.29,2149.26
2026-04-30,401869393,New York Knicks at Atlanta Hawks,140-89,skip,away,New York Knicks,,New York Knicks,SKIP,no_positive_kelly,57.09,56.35,58.68,-1.59,0.74,-142,1.704,0.0,0.0,0.0,0.0,2149.26
2026-04-30,401869407,Houston Rockets at Los Angeles Lakers,99-93,away,away,Houston Rockets,Houston Rockets,Houston Rockets,WIN,,50.85,41.7,43.48,7.37,9.15,130,2.3,13.04,3.26,70.08,91.1,2240.36
