game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-04-13,401811054,Golden State Warriors at LA Clippers,110-115,away,away,Golden State Warriors,Golden State Warriors,LA Clippers,LOSS,,43.54,40.66,42.37,1.16,2.87,136,2.36,2.02,0.5,10.1,-10.1,1989.9
2026-04-18,401869187,Toronto Raptors at Cleveland Cavaliers,113-126,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,38.75,24.28,25.32,13.43,14.46,295,3.95,17.98,4.5,89.45,-89.45,1900.45
2026-04-18,401869188,Minnesota Timberwolves at Denver Nuggets,105-116,away,away,Minnesota Timberwolves,Minnesota Timberwolves,Denver Nuggets,LOSS,,34.7,29.98,31.25,3.45,4.72,220,3.2,5.02,1.26,23.86,-23.86,1876.59
2026-04-18,401869189,Atlanta Hawks at New York Knicks,102-113,away,away,Atlanta Hawks,Atlanta Hawks,New York Knicks,LOSS,,40.7,32.5,33.9,6.8,8.2,195,2.95,10.29,2.57,48.26,-48.26,1828.33
2026-04-19,401869190,Houston Rockets at Los Angeles Lakers,98-107,home,home,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,54.27,44.86,46.73,7.54,9.42,114,2.14,14.16,3.54,64.72,73.78,1902.11
2026-04-19,401869191,Philadelphia 76ers at Boston Celtics,91-123,away,away,Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,LOSS,,36.05,14.21,14.81,21.23,21.84,575,6.75,24.92,6.23,118.52,-118.52,1783.6
2026-04-19,401869192,Phoenix Suns at Oklahoma City Thunder,84-119,away,away,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,32.46,10.11,10.53,21.94,22.35,850,9.5,24.52,6.13,109.32,-109.32,1674.28
2026-04-19,401869193,Orlando Magic at Detroit Pistons,112-101,away,away,Orlando Magic,Orlando Magic,Orlando Magic,WIN,,30.83,23.41,24.39,6.44,7.42,310,4.1,8.52,2.13,35.66,110.56,1784.83
2026-04-20,401869194,Portland Trail Blazers at San Antonio Spurs,98-111,away,away,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,31.31,16.0,16.67,14.64,15.31,500,6.0,17.57,4.39,78.4,-78.4,1706.44
2026-04-20,401869369,Toronto Raptors at Cleveland Cavaliers,105-115,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,35.78,21.33,22.22,13.56,14.45,350,4.5,17.43,4.36,74.35,-74.35,1632.08
2026-04-21,401869387,Atlanta Hawks at New York Knicks,107-106,away,away,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,WIN,,34.52,31.94,33.33,1.18,2.57,200,3.0,1.78,0.44,7.25,14.5,1646.58
2026-04-21,401869395,Minnesota Timberwolves at Denver Nuggets,119-114,away,away,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,30.7,28.2,29.41,1.29,2.49,240,3.4,1.82,0.46,7.5,18.0,1664.58
2026-04-21,401869396,Philadelphia 76ers at Boston Celtics,111-97,away,away,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,WIN,,30.15,14.21,14.81,15.33,15.94,575,6.75,18.0,4.5,74.91,430.73,2095.31
2026-04-22,401869378,Portland Trail Blazers at San Antonio Spurs,106-103,away,away,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,WIN,,30.31,16.84,17.54,12.76,13.47,470,5.7,15.48,3.87,81.07,381.04,2476.35
2026-04-22,401869397,Houston Rockets at Los Angeles Lakers,94-101,home,home,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,57.64,33.1,34.48,23.16,24.54,190,2.9,35.35,8.84,218.85,415.82,2892.16
2026-04-22,401869411,Orlando Magic at Detroit Pistons,83-98,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,30.88,25.59,26.67,4.21,5.29,275,3.75,5.75,1.44,41.55,-41.55,2850.61
2026-04-23,401869368,Phoenix Suns at Oklahoma City Thunder,107-120,away,away,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,29.41,8.76,9.09,20.32,20.65,1000,11.0,22.35,5.59,159.25,-159.25,2691.36
