game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-03-29,401810938,Miami Heat at Indiana Pacers,118-135,home,home,Indiana Pacers,Indiana Pacers,Indiana Pacers,WIN,,43.26,25.22,26.32,16.94,18.04,280,3.8,22.99,5.75,114.96,321.88,2321.88
2026-03-29,401810939,Sacramento Kings at Brooklyn Nets,99-116,away,away,Sacramento Kings,Sacramento Kings,Brooklyn Nets,LOSS,,56.67,47.83,50.0,6.67,8.85,100,2.0,13.35,3.34,77.47,-77.47,2244.41
2026-03-29,401810940,Boston Celtics at Charlotte Hornets,114-99,home,home,Charlotte Hornets,Charlotte Hornets,Boston Celtics,LOSS,,64.55,55.14,57.45,7.1,9.4,-135,1.741,16.69,4.17,93.64,-93.64,2150.77
2026-03-29,401810941,Orlando Magic at Toronto Raptors,87-139,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,64.52,52.61,54.95,9.57,11.91,-122,1.82,21.24,5.31,114.21,93.62,2244.38
2026-03-29,401810942,Washington Wizards at Portland Trail Blazers,88-123,skip,away,Washington Wizards,,Portland Trail Blazers,SKIP,market_disagreement,35.56,9.17,9.52,26.03,26.38,950,10.5,28.77,0.0,0.0,0.0,2244.38
2026-03-29,401810943,Houston Rockets at New Orleans Pelicans,134-102,home,home,New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,LOSS,,43.49,31.46,32.79,10.7,12.03,205,3.05,15.92,3.98,89.33,-89.33,2155.05
2026-03-29,401810944,New York Knicks at Oklahoma City Thunder,100-111,skip,away,New York Knicks,,Oklahoma City Thunder,SKIP,market_disagreement,56.74,24.92,25.97,30.76,31.82,285,3.85,41.56,0.0,0.0,0.0,2155.05
2026-03-30,401810945,Golden State Warriors at Denver Nuggets,93-116,away,away,Golden State Warriors,Golden State Warriors,Denver Nuggets,LOSS,,35.92,17.29,18.02,17.91,18.64,455,5.55,21.84,5.46,117.68,-117.68,2037.37
2026-03-30,401810946,Philadelphia 76ers at Miami Heat,109-119,skip,away,Philadelphia 76ers,,Miami Heat,SKIP,no_positive_kelly,56.66,56.35,58.68,-2.02,0.31,-142,1.704,0.0,0.0,0.0,0.0,2037.37
2026-03-30,401810947,Boston Celtics at Atlanta Hawks,102-112,home,home,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,WIN,,64.34,56.35,58.68,5.66,7.99,-142,1.704,13.7,3.43,69.8,49.15,2086.53
