game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-03-14,401810828,Charlotte Hornets at San Antonio Spurs,102-115,away,away,Charlotte Hornets,Charlotte Hornets,San Antonio Spurs,LOSS,,37.16,31.94,33.33,3.83,5.22,200,3.0,5.75,1.44,28.73,-28.73,1971.27
2026-03-15,401810829,Denver Nuggets at Los Angeles Lakers,125-127,skip,away,Denver Nuggets,,Los Angeles Lakers,SKIP,no_positive_kelly,53.55,52.61,54.95,-1.41,0.94,-122,1.82,0.0,0.0,0.0,0.0,1971.27
2026-03-15,401810830,Sacramento Kings at LA Clippers,118-109,away,away,Sacramento Kings,Sacramento Kings,Sacramento Kings,WIN,,28.61,13.23,13.79,14.82,15.38,625,7.25,17.19,4.3,84.72,529.5,2500.77
2026-03-15,401810831,Minnesota Timberwolves at Oklahoma City Thunder,103-116,skip,away,Minnesota Timberwolves,,Oklahoma City Thunder,SKIP,market_disagreement,52.82,24.0,25.0,27.82,28.82,300,4.0,37.09,0.0,0.0,0.0,2500.77
2026-03-15,401810832,Dallas Mavericks at Cleveland Cavaliers,130-120,away,away,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,WIN,,28.1,11.3,11.76,16.33,16.8,750,8.5,18.51,4.63,115.74,868.06,3368.82
2026-03-15,401810835,Portland Trail Blazers at Philadelphia 76ers,103-109,skip,home,Philadelphia 76ers,,Philadelphia 76ers,SKIP,market_disagreement,52.92,25.91,27.03,25.89,27.01,270,3.7,35.48,0.0,0.0,0.0,3368.82
2026-03-16,401810836,Golden State Warriors at New York Knicks,107-110,skip,away,Golden State Warriors,,New York Knicks,SKIP,market_disagreement,48.49,13.23,13.79,34.7,35.27,625,7.25,40.25,0.0,0.0,0.0,3368.82
2026-03-16,401810838,Orlando Magic at Atlanta Hawks,112-124,home,home,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,WIN,,63.27,58.3,60.78,2.49,4.97,-155,1.645,6.34,1.59,53.42,34.47,3403.29
2026-03-17,401810842,Memphis Grizzlies at Chicago Bulls,107-132,away,away,Memphis Grizzlies,Memphis Grizzlies,Chicago Bulls,LOSS,,37.02,29.5,30.77,6.25,7.52,225,3.25,9.03,2.26,76.79,-76.79,3326.5
2026-03-17,401810843,Dallas Mavericks at New Orleans Pelicans,111-129,away,away,Dallas Mavericks,Dallas Mavericks,New Orleans Pelicans,LOSS,,37.79,25.91,27.03,10.76,11.87,270,3.7,14.75,3.69,122.63,-122.63,3203.87
2026-03-17,401810847,Oklahoma City Thunder at Orlando Magic,113-108,skip,home,Orlando Magic,,Oklahoma City Thunder,SKIP,market_disagreement,48.85,21.33,22.22,26.62,27.52,350,4.5,34.23,0.0,0.0,0.0,3203.87
2026-03-18,401810850,Cleveland Cavaliers at Milwaukee Bucks,123-116,home,home,Milwaukee Bucks,Milwaukee Bucks,Cleveland Cavaliers,LOSS,,40.95,17.29,18.02,22.94,23.67,455,5.55,27.98,6.99,224.08,-224.08,2979.79
2026-03-18,401810853,San Antonio Spurs at Sacramento Kings,132-104,skip,home,Sacramento Kings,,San Antonio Spurs,SKIP,market_disagreement,41.16,14.21,14.81,26.34,26.95,575,6.75,30.93,0.0,0.0,0.0,2979.79
2026-03-18,401810854,Golden State Warriors at Boston Celtics,99-120,skip,away,Golden State Warriors,,Boston Celtics,SKIP,market_disagreement,47.53,17.29,18.02,29.51,30.24,455,5.55,36.0,0.0,0.0,0.0,2979.79
2026-03-18,401810856,Portland Trail Blazers at Indiana Pacers,127-119,skip,home,Indiana Pacers,,Portland Trail Blazers,SKIP,market_disagreement,41.57,16.29,16.95,24.62,25.28,490,5.9,29.64,0.0,0.0,0.0,2979.79
2026-03-19,401810860,LA Clippers at New Orleans Pelicans,109-124,away,away,LA Clippers,LA Clippers,New Orleans Pelicans,LOSS,,57.72,54.27,56.52,1.19,3.44,-130,1.769,2.74,0.69,20.45,-20.45,2959.35
2026-03-19,401810862,Los Angeles Lakers at Houston Rockets,124-116,away,away,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,48.75,45.73,47.62,1.13,3.02,110,2.1,2.15,0.54,15.93,17.53,2976.87
2026-03-19,401810864,Detroit Pistons at Washington Wizards,117-95,skip,home,Washington Wizards,,Detroit Pistons,SKIP,market_disagreement,41.02,11.3,11.76,29.25,29.71,750,8.5,33.15,0.0,0.0,0.0,2976.87
2026-03-19,401858693,Denver Nuggets at Memphis Grizzlies,118-125,skip,home,Memphis Grizzlies,,Memphis Grizzlies,SKIP,market_disagreement,45.08,15.35,16.0,29.08,29.73,525,6.25,34.61,0.0,0.0,0.0,2976.87
2026-03-20,401810867,LA Clippers at New Orleans Pelicans,99-105,away,away,LA Clippers,LA Clippers,New Orleans Pelicans,LOSS,,55.84,40.04,41.67,14.18,15.81,140,2.4,24.3,6.08,180.86,-180.86,2796.01
2026-03-20,401810870,Philadelphia 76ers at Sacramento Kings,139-118,home,home,Sacramento Kings,Sacramento Kings,Philadelphia 76ers,LOSS,,44.68,42.79,44.64,0.03,1.88,124,2.24,0.06,0.01,0.42,-0.42,2795.6
2026-03-20,401810871,New York Knicks at Brooklyn Nets,93-92,skip,home,Brooklyn Nets,,New York Knicks,SKIP,market_disagreement,40.91,8.03,8.33,32.57,32.88,1100,12.0,35.53,0.0,0.0,0.0,2795.6
2026-03-21,401810876,Toronto Raptors at Denver Nuggets,115-121,away,away,Toronto Raptors,Toronto Raptors,Denver Nuggets,LOSS,,33.52,29.98,31.25,2.27,3.54,220,3.2,3.3,0.83,23.07,-23.07,2772.53
2026-03-21,401810879,Los Angeles Lakers at Orlando Magic,105-104,skip,home,Orlando Magic,,Los Angeles Lakers,SKIP,no_positive_kelly,42.49,41.7,43.48,-0.99,0.79,130,2.3,0.0,0.0,0.0,0.0,2772.53
2026-03-21,401810880,Cleveland Cavaliers at New Orleans Pelicans,111-106,home,home,New Orleans Pelicans,New Orleans Pelicans,Cleveland Cavaliers,LOSS,,41.67,35.53,37.04,4.63,6.14,170,2.7,7.35,1.84,50.96,-50.96,2721.57
2026-03-22,401810884,LA Clippers at Dallas Mavericks,138-131,home,home,Dallas Mavericks,Dallas Mavericks,LA Clippers,LOSS,,41.76,29.98,31.25,10.51,11.78,220,3.2,15.29,3.82,104.02,-104.02,2617.55
2026-03-22,401810886,Milwaukee Bucks at Phoenix Suns,108-105,skip,away,Milwaukee Bucks,,Milwaukee Bucks,SKIP,market_disagreement,43.52,17.77,18.52,25.0,25.75,440,5.4,30.68,0.0,0.0,0.0,2617.55
2026-03-22,401810887,Portland Trail Blazers at Denver Nuggets,112-128,away,away,Portland Trail Blazers,Portland Trail Blazers,Denver Nuggets,LOSS,,35.13,25.91,27.03,8.11,9.22,270,3.7,11.11,2.78,72.7,-72.7,2544.85
2026-03-23,401810892,Memphis Grizzlies at Atlanta Hawks,107-146,away,away,Memphis Grizzlies,Memphis Grizzlies,Atlanta Hawks,LOSS,,30.34,13.7,14.29,16.06,16.65,600,7.0,18.74,4.68,119.2,-119.2,2425.66
