index,feature,group
1,season_type,context
2,neutral_site,context
3,is_playoff,context
4,is_finals,context
5,edge_h2h_avg_net_rating_est,h2h
6,edge_h2h_win_pct,h2h
7,edge_h2h_avg_points_for,h2h
8,edge_h2h_avg_points_against,h2h
9,edge_h2h_avg_margin,h2h
10,edge_h2h_avg_def_rating_est,h2h
11,edge_h2h_avg_off_rating_est,h2h
12,edge_h2h_avg_field_goal_pct,h2h
13,edge_h2h_avg_efg_pct_est,h2h
14,edge_h2h_avg_assists,h2h
15,edge_h2h_avg_paint_point_rate_est,h2h
16,edge_h2h_avg_turnover_rate,h2h
17,edge_h2h_avg_points_in_paint,h2h
18,edge_h2h_avg_turnovers,h2h
19,edge_h2h_avg_steal_rate_est,h2h
20,edge_h2h_avg_steals,h2h
21,edge_h2h_avg_block_rate_est,h2h
22,edge_h2h_avg_blocks,h2h
23,edge_h2h_avg_defensive_rebounds,h2h
24,edge_h2h_avg_three_point_field_goal_pct,h2h
25,edge_h2h_avg_oreb_rate_proxy,h2h
26,edge_h2h_avg_fast_break_points,h2h
27,edge_h2h_avg_free_throw_pct,h2h
28,edge_h2h_avg_foul_rate_est,h2h
29,edge_h2h_avg_fouls,h2h
30,edge_h2h_avg_offensive_rebounds,h2h
31,edge_h2h_avg_total_rebounds,h2h
32,edge_h2h_avg_ft_rate,h2h
33,edge_h2h_avg_estimated_possessions,h2h
34,edge_h2h_avg_three_pa_rate,h2h
35,edge_players_top8_sum_plus_minus,players
36,edge_players_top8_minutes_weighted_plus_minus,players
37,edge_players_top8_avg_plus_minus,players
38,edge_players_top8_usage_weighted_plus_minus,players
39,edge_players_top5_sum_plus_minus,players
40,edge_players_top5_minutes_weighted_plus_minus,players
41,edge_players_top5_avg_plus_minus,players
42,edge_players_top5_usage_weighted_plus_minus,players
43,edge_players_rotation_players_last10,players
44,edge_players_top8_fga_weighted_efg_pct,players
45,edge_players_top8_sum_turnovers,players
46,edge_players_top8_avg_turnovers,players
47,edge_players_top8_avg_turnovers_per36,players
48,edge_players_top8_sum_turnovers_per36,players
49,edge_players_top8_minutes_weighted_turnovers_per36,players
50,edge_players_logged_players,players
51,edge_players_top5_fga_weighted_efg_pct,players
52,edge_players_top8_minutes_volatility,players
53,edge_players_top5_sum_turnovers_per36,players
54,edge_players_top5_avg_turnovers_per36,players
55,edge_players_top8_usage_weighted_points_per36,players
56,edge_players_top8_usage_weighted_turnovers_per36,players
57,edge_players_top5_minutes_weighted_turnovers_per36,players
58,edge_players_top8_availability_risk_expected_usage,players
59,edge_players_top5_usage_weighted_points_per36,players
60,edge_players_scorer1_ppg,players
61,edge_players_top5_avg_turnovers,players
62,edge_players_top5_sum_turnovers,players
63,edge_players_top5_dnp_rate_last10,players
64,edge_players_top5_availability_risk_expected_minutes,players
65,edge_players_top5_dnp_games_last10,players
66,edge_players_top8_availability_risk_expected_points,players
67,edge_players_top5_avg_defensive_rebounds,players
68,edge_players_top5_sum_defensive_rebounds,players
69,edge_players_top8_3pa_weighted_three_pct,players
70,edge_players_top5_availability_risk_expected_usage,players
71,edge_players_top8_availability_risk_expected_minutes,players
72,edge_players_top5_availability_risk_expected_points,players
73,edge_players_top5_usage_weighted_turnovers_per36,players
74,edge_players_top8_avg_field_goals_made_field_goals_attempted_attempted,players
75,edge_last20_avg_margin,recent_team
76,edge_last20_avg_net_rating_est,recent_team
77,edge_last10_avg_margin,recent_team
78,edge_last10_avg_net_rating_est,recent_team
79,edge_last20_win_pct,recent_team
80,edge_last5_avg_margin,recent_team
81,edge_last10_win_pct,recent_team
82,edge_last5_avg_net_rating_est,recent_team
83,edge_last20_avg_off_rating_est,recent_team
84,edge_last10_avg_off_rating_est,recent_team
85,edge_last3_avg_margin,recent_team
86,edge_last5_win_pct,recent_team
87,edge_last3_avg_net_rating_est,recent_team
88,edge_last20_avg_def_rating_est,recent_team
89,edge_last5_avg_off_rating_est,recent_team
90,edge_last20_avg_efg_pct_est,recent_team
91,edge_last20_avg_points_against,recent_team
92,edge_last10_avg_def_rating_est,recent_team
93,edge_last20_avg_field_goal_pct,recent_team
94,edge_last10_avg_efg_pct_est,recent_team
95,edge_last3_win_pct,recent_team
96,edge_last20_avg_points_for,recent_team
97,edge_last10_avg_points_against,recent_team
98,edge_last3_avg_off_rating_est,recent_team
99,edge_last20_avg_turnovers,recent_team
100,edge_last10_avg_field_goal_pct,recent_team
101,edge_last10_avg_points_for,recent_team
102,edge_last5_avg_efg_pct_est,recent_team
103,edge_last5_avg_field_goal_pct,recent_team
104,edge_last20_avg_turnover_rate,recent_team
105,edge_last5_avg_points_for,recent_team
106,edge_last10_avg_turnovers,recent_team
107,edge_last5_avg_def_rating_est,recent_team
108,edge_last3_avg_efg_pct_est,recent_team
109,edge_last5_avg_points_against,recent_team
110,edge_last3_avg_field_goal_pct,recent_team
111,edge_last10_avg_turnover_rate,recent_team
112,edge_last3_avg_def_rating_est,recent_team
