team_id,team,team_abbrev,athlete_id,player,position,jersey,age,height_inches,weight_lbs,experience_years,status,headshot
1,Atlanta Hawks,ATL,4278039,Nickeil Alexander-Walker,Guard,7,27,77.0,205.0,6.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png
1,Atlanta Hawks,ATL,4065673,Tony Bradley,Center,13,28,82.0,248.0,7.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4065673.png
1,Atlanta Hawks,ATL,4869342,Dyson Daniels,Guard,5,23,79.0,199.0,3.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4869342.png
1,Atlanta Hawks,ATL,4431941,RayJ Dennis,Guard,00,25,74.0,180.0,1.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4431941.png
1,Atlanta Hawks,ATL,4585618,Keshon Gilbert,Guard,,22,76.0,200.0,,Active,https://a.espncdn.com/i/headshots/nba/players/full/4585618.png
1,Atlanta Hawks,ATL,4712863,Mouhamed Gueye,Forward,18,23,83.0,210.0,2.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4712863.png
1,Atlanta Hawks,ATL,2990984,Buddy Hield,Guard,8,33,76.0,220.0,9.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/2990984.png
1,Atlanta Hawks,ATL,4433623,Caleb Houstan,Guard,33,23,80.0,205.0,3.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4433623.png
1,Atlanta Hawks,ATL,4701230,Jalen Johnson,Forward,1,24,80.0,219.0,4.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4701230.png
1,Atlanta Hawks,ATL,4280151,Corey Kispert,Forward,24,27,78.0,224.0,4.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4280151.png
1,Atlanta Hawks,ATL,4431778,Christian Koloko,Center,35,25,83.0,225.0,3.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4431778.png
1,Atlanta Hawks,ATL,4433247,Jonathan Kuminga,Forward,0,23,79.0,225.0,4.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4433247.png
1,Atlanta Hawks,ATL,3146557,Jock Landale,Center,31,30,83.0,255.0,4.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/3146557.png
1,Atlanta Hawks,ATL,2490149,CJ McCollum,Guard,3,34,75.0,190.0,12.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png
1,Atlanta Hawks,ATL,4873201,Asa Newell,Forward,14,20,82.0,220.0,0.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4873201.png
1,Atlanta Hawks,ATL,4431680,Onyeka Okongwu,Forward,17,25,82.0,240.0,5.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4431680.png
1,Atlanta Hawks,ATL,5211175,Zaccharie Risacher,Forward,10,21,80.0,200.0,1.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5211175.png
1,Atlanta Hawks,ATL,3137259,Gabe Vincent,Guard,4,29,74.0,200.0,6.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/3137259.png
1,Atlanta Hawks,ATL,4279118,Keaton Wallace,Guard,2,27,75.0,185.0,1.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4279118.png
2,Boston Celtics,BOS,4397885,Dalano Banton,Forward,45,26,80.0,203.0,4.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4397885.png
2,Boston Celtics,BOS,3917376,Jaylen Brown,Guard,7,29,78.0,223.0,9.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png
2,Boston Celtics,BOS,4277951,Luka Garza,Center,52,27,82.0,243.0,4.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4277951.png
2,Boston Celtics,BOS,5175647,Hugo Gonzalez,Guard,28,20,78.0,200.0,0.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5175647.png
2,Boston Celtics,BOS,4397251,Ron Harper Jr.,Guard,13,26,77.0,233.0,3.0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4397251.png
