team_id,team,abbrev,group_header,conference_header,division_header,games_behind,losses,streak,win_percent,wins
2,,,2025-26 Atlantic Standings,Eastern Conference,Atlantic,-,26,W2,.683,56
18,,,2025-26 Atlantic Standings,Eastern Conference,Atlantic,3,29,L1,.646,53
28,,,2025-26 Atlantic Standings,Eastern Conference,Atlantic,10,36,W1,.561,46
20,,,2025-26 Atlantic Standings,Eastern Conference,Atlantic,11,37,W2,.549,45
17,,,2025-26 Atlantic Standings,Eastern Conference,Atlantic,36,62,L3,.244,20
24,,,2025-26 Southwest Standings,Western Conference,Southwest,-,20,L1,.756,62
10,,,2025-26 Southwest Standings,Western Conference,Southwest,10,30,W1,.634,52
3,,,2025-26 Southwest Standings,Western Conference,Southwest,36,56,L2,.317,26
6,,,2025-26 Southwest Standings,Western Conference,Southwest,36,56,W1,.317,26
29,,,2025-26 Southwest Standings,Western Conference,Southwest,37,57,L8,.305,25
