team_id,category,stat_name,display_name,abbrev,value,display_value,per_game_value,rank,rank_display_value
1,general,avgRebounds,Rebounds Per Game,REB,36.833332,36.8,,,
1,general,assistTurnoverRatio,Assist To Turnover Ratio,AST/TO,1.5465117,1.5,1.5714285373687744,,
1,general,avgFouls,Fouls Per Game,PF,22.166666,22.2,,,
1,general,gamesPlayed,Games Played,GP,6.0,6,,,
1,general,gamesStarted,Games Started,GS,0.0,0,,,
1,general,minutes,Minutes,MIN,0.0,0,,,
1,general,avgMinutes,Minutes Per Game,MIN,0.0,0.0,,,
1,general,totalRebounds,Rebounds,REB,221.0,221,36.0,,
1,general,rebounds,Rebounds,REB,221.0,221,36.0,,
1,offensive,freeThrowPct,Free Throw Percentage,FT%,72.18000030517578,72.2,0.722000002861023,,
1,offensive,threePointPct,3-Point Field Goal Percentage,3P%,31.19300079345703,31.2,0.31200000643730164,,
1,offensive,avgFieldGoalsMade,Average Field Goals Made,FGM,36.5,36.5,,,
1,offensive,avgFieldGoalsAttempted,Average Field Goals Attempted,FGA,83.666664,83.7,,,
1,offensive,avgThreePointFieldGoalsMade,Average 3-Point Field Goals Made,3PM,11.333333,11.3,,,
1,offensive,avgThreePointFieldGoalsAttempted,Average 3-Point Field Goals Attempted,3PA,36.333332,36.3,,,
1,offensive,avgFreeThrowsMade,Average Free Throws Made,FTM,16.0,16.0,,,
1,offensive,avgFreeThrowsAttempted,Average Free Throws Attempted,FTA,22.166666,22.2,,,
1,offensive,avgPoints,Points Per Game,PTS,100.333336,100.3,,,
1,offensive,avgOffensiveRebounds,Offensive Rebounds Per Game,OR,9.166667,9.2,,,
1,offensive,avgAssists,Assists Per Game,AST,22.166666,22.2,,,
1,offensive,avgTurnovers,Turnovers Per Game,TO,14.333333,14.3,,,
1,offensive,twoPointFieldGoalPct,2-Point Field Goal Percentage,2P%,53.16901206970215,53.2,0.5319148898124695,,
1,offensive,scoringEfficiency,Scoring Efficiency,SC-EFF,1.1992031,1.199,1.2048193216323853,,
1,offensive,shootingEfficiency,Shooting Efficiency,SH-EFF,0.50398403,0.50,0.5060241222381592,,
1,offensive,fieldGoalPct,Field Goal Percentage,FG%,43.625,43.6,0.4359999895095825,,
1,offensive,twoPointFieldGoalsMade,2-Point Field Goals Made,2PM,151.0,151.0,25.0,,
1,offensive,twoPointFieldGoalsAttempted,2-Point Field Goals Attempted,2PA,284.0,284.0,47.0,,
1,offensive,points,Points,PTS,602.0,602,100.0,,
1,offensive,offensiveRebounds,Offensive Rebounds,OR,55.0,55,9.0,,
1,offensive,assists,Assists,AST,133.0,133,22.0,,
1,offensive,turnovers,Turnovers,TO,86.0,86,14.0,,
1,offensive,fieldGoalsMade,Field Goals Made,FGM,219.0,219,36.0,,
1,offensive,fieldGoalsAttempted,Field Goals Attempted,FGA,502.0,502,83.0,,
1,offensive,freeThrowsMade,Free Throws Made,FTM,96.0,96,16.0,,
1,offensive,freeThrowsAttempted,Free Throws Attempted,FTA,133.0,133,22.0,,
1,offensive,threePointFieldGoalsMade,3-Point Field Goals Made,3PM,68.0,68,11.0,,
1,offensive,threePointFieldGoalsAttempted,3-Point Field Goals Attempted,3PA,218.0,218,36.0,,
1,offensive,threePointFieldGoalPct,3-Point Field Goal Percentage,3P%,31.192660331726074,31.2,0.3055555522441864,,
1,offensive,avgTwoPointFieldGoalsMade,2-Point Field Goals Made per Game,2PM,25.166666,25.2,,,
1,offensive,avgTwoPointFieldGoalsAttempted,2-Point Field Goals Attempted per Game,2PA,47.333332,47.3,,,
1,defensive,avgDefensiveRebounds,Defensive Rebounds Per Game,DR,27.666666,27.7,,,
1,defensive,avgBlocks,Blocks Per Game,BLK,4.8333335,4.8,,,
1,defensive,avgSteals,Steals Per Game,STL,7.3333335,7.3,,,
1,defensive,defensiveRebounds,Defensive Rebounds,DR,166.0,166,27.0,,
1,defensive,steals,Steals,STL,44.0,44,7.0,,
1,defensive,blocks,Blocks,BLK,29.0,29,4.0,,
2,general,avgRebounds,Rebounds Per Game,REB,46.857143,46.9,,,
2,general,assistTurnoverRatio,Assist To Turnover Ratio,AST/TO,2.128205,2.1,2.090909004211426,,
2,general,avgFouls,Fouls Per Game,PF,19.428572,19.4,,,
2,general,gamesPlayed,Games Played,GP,7.0,7,,,
2,general,gamesStarted,Games Started,GS,0.0,0,,,
2,general,minutes,Minutes,MIN,0.0,0,,,
2,general,avgMinutes,Minutes Per Game,MIN,0.0,0.0,,,
2,general,totalRebounds,Rebounds,REB,328.0,328,46.0,,
2,general,rebounds,Rebounds,REB,328.0,328,46.0,,
2,offensive,freeThrowPct,Free Throw Percentage,FT%,73.57099914550781,73.6,0.7360000014305115,,
2,offensive,threePointPct,3-Point Field Goal Percentage,3P%,33.74599838256836,33.7,0.3370000123977661,,
2,offensive,avgFieldGoalsMade,Average Field Goals Made,FGM,38.142857,38.1,,,
2,offensive,avgFieldGoalsAttempted,Average Field Goals Attempted,FGA,87.85714,87.9,,,
2,offensive,avgThreePointFieldGoalsMade,Average 3-Point Field Goals Made,3PM,15.571428,15.6,,,
2,offensive,avgThreePointFieldGoalsAttempted,Average 3-Point Field Goals Attempted,3PA,46.142857,46.1,,,
2,offensive,avgFreeThrowsMade,Average Free Throws Made,FTM,14.714286,14.7,,,
2,offensive,avgFreeThrowsAttempted,Average Free Throws Attempted,FTA,20.0,20.0,,,
2,offensive,avgPoints,Points Per Game,PTS,106.57143,106.6,,,
2,offensive,avgOffensiveRebounds,Offensive Rebounds Per Game,OR,12.142858,12.1,,,
2,offensive,avgAssists,Assists Per Game,AST,23.714285,23.7,,,
2,offensive,avgTurnovers,Turnovers Per Game,TO,11.142858,11.1,,,
2,offensive,twoPointFieldGoalPct,2-Point Field Goal Percentage,2P%,54.109591245651245,54.1,0.5609756112098694,,
2,offensive,scoringEfficiency,Scoring Efficiency,SC-EFF,1.2130082,1.213,1.2183908224105835,,
2,offensive,shootingEfficiency,Shooting Efficiency,SH-EFF,0.5227642,0.52,0.5287356376647949,,
2,offensive,fieldGoalPct,Field Goal Percentage,FG%,43.415000915527344,43.4,0.4339999854564667,,
2,offensive,twoPointFieldGoalsMade,2-Point Field Goals Made,2PM,158.0,158.0,23.0,,
2,offensive,twoPointFieldGoalsAttempted,2-Point Field Goals Attempted,2PA,292.0,292.0,41.0,,
2,offensive,points,Points,PTS,746.0,746,106.0,,
2,offensive,offensiveRebounds,Offensive Rebounds,OR,85.0,85,12.0,,
2,offensive,assists,Assists,AST,166.0,166,23.0,,
2,offensive,turnovers,Turnovers,TO,78.0,78,11.0,,
2,offensive,fieldGoalsMade,Field Goals Made,FGM,267.0,267,38.0,,
2,offensive,fieldGoalsAttempted,Field Goals Attempted,FGA,615.0,615,87.0,,
2,offensive,freeThrowsMade,Free Throws Made,FTM,103.0,103,14.0,,
2,offensive,freeThrowsAttempted,Free Throws Attempted,FTA,140.0,140,20.0,,
2,offensive,threePointFieldGoalsMade,3-Point Field Goals Made,3PM,109.0,109,15.0,,
2,offensive,threePointFieldGoalsAttempted,3-Point Field Goals Attempted,3PA,323.0,323,46.0,,
2,offensive,threePointFieldGoalPct,3-Point Field Goal Percentage,3P%,33.746129274368286,33.7,0.32608696818351746,,
2,offensive,avgTwoPointFieldGoalsMade,2-Point Field Goals Made per Game,2PM,22.571428,22.6,,,
2,offensive,avgTwoPointFieldGoalsAttempted,2-Point Field Goals Attempted per Game,2PA,41.714287,41.7,,,
2,defensive,avgDefensiveRebounds,Defensive Rebounds Per Game,DR,34.714287,34.7,,,
2,defensive,avgBlocks,Blocks Per Game,BLK,4.714286,4.7,,,
2,defensive,avgSteals,Steals Per Game,STL,5.428571,5.4,,,
2,defensive,defensiveRebounds,Defensive Rebounds,DR,243.0,243,34.0,,
2,defensive,steals,Steals,STL,38.0,38,5.0,,
2,defensive,blocks,Blocks,BLK,33.0,33,4.0,,
17,general,avgRebounds,Rebounds Per Game,REB,39.32927,39.3,,,
17,general,assistTurnoverRatio,Assist To Turnover Ratio,AST/TO,1.6666666,1.7,1.6666666269302368,,
17,general,avgFouls,Fouls Per Game,PF,21.073172,21.1,,,
17,general,gamesPlayed,Games Played,GP,82.0,82,,,
17,general,gamesStarted,Games Started,GS,0.0,0,,,
17,general,minutes,Minutes,MIN,0.0,0,,,
17,general,avgMinutes,Minutes Per Game,MIN,0.0,0.0,,,
17,general,totalRebounds,Rebounds,REB,3225.0,3225,39.0,,
17,general,rebounds,Rebounds,REB,3225.0,3225,39.0,,
