event_id,game_datetime,game_date,name,short_name,season_type,season_type_name,round_type,status_state,status_detail,completed,neutral_site,venue,home_team_id,home_team,home_abbrev,home_score,away_team_id,away_team,away_abbrev,away_score,home_win,home_margin,schedule_context_team_id,schedule_context_season
401584689,2023-10-24T23:30Z,2023-10-24,Los Angeles Lakers at Denver Nuggets,LAL @ DEN,2,Regular Season,Standard,post,Final,True,False,Ball Arena,7,Denver Nuggets,DEN,119.0,13,Los Angeles Lakers,LAL,107.0,1.0,12.0,7,2024
401584690,2023-10-25T02:00Z,2023-10-25,Phoenix Suns at Golden State Warriors,PHX @ GS,2,Regular Season,Standard,post,Final,True,False,Chase Center,9,Golden State Warriors,GS,104.0,21,Phoenix Suns,PHX,108.0,0.0,-4.0,9,2024
401584691,2023-10-25T23:00Z,2023-10-25,Atlanta Hawks at Charlotte Hornets,ATL @ CHA,2,Regular Season,Standard,post,Final,True,False,Spectrum Center,30,Charlotte Hornets,CHA,116.0,1,Atlanta Hawks,ATL,110.0,1.0,6.0,1,2024
401584692,2023-10-25T23:00Z,2023-10-25,Washington Wizards at Indiana Pacers,WSH @ IND,2,Regular Season,Standard,post,Final,True,False,Gainbridge Fieldhouse,11,Indiana Pacers,IND,143.0,27,Washington Wizards,WSH,120.0,1.0,23.0,11,2024
401584693,2023-10-25T23:00Z,2023-10-25,Boston Celtics at New York Knicks,BOS @ NY,2,Regular Season,Standard,post,Final,True,False,Madison Square Garden,18,New York Knicks,NY,104.0,2,Boston Celtics,BOS,108.0,0.0,-4.0,2,2024
401584694,2023-10-25T23:00Z,2023-10-25,Houston Rockets at Orlando Magic,HOU @ ORL,2,Regular Season,Standard,post,Final,True,False,Kia Center,19,Orlando Magic,ORL,116.0,10,Houston Rockets,HOU,86.0,1.0,30.0,10,2024
401584695,2023-10-25T23:30Z,2023-10-25,Cleveland Cavaliers at Brooklyn Nets,CLE @ BKN,2,Regular Season,Standard,post,Final,True,False,Barclays Center,17,Brooklyn Nets,BKN,113.0,5,Cleveland Cavaliers,CLE,114.0,0.0,-1.0,17,2024
401584696,2023-10-25T23:30Z,2023-10-25,Detroit Pistons at Miami Heat,DET @ MIA,2,Regular Season,Standard,post,Final,True,False,Kaseya Center,14,Miami Heat,MIA,103.0,8,Detroit Pistons,DET,102.0,1.0,1.0,8,2024
401584697,2023-10-25T23:30Z,2023-10-25,Minnesota Timberwolves at Toronto Raptors,MIN @ TOR,2,Regular Season,Standard,post,Final,True,False,Scotiabank Arena,28,Toronto Raptors,TOR,97.0,16,Minnesota Timberwolves,MIN,94.0,1.0,3.0,16,2024
401584698,2023-10-26T00:00Z,2023-10-26,Oklahoma City Thunder at Chicago Bulls,OKC @ CHI,2,Regular Season,Standard,post,Final,True,False,United Center,4,Chicago Bulls,CHI,104.0,25,Oklahoma City Thunder,OKC,124.0,0.0,-20.0,4,2024
401584699,2023-10-26T00:00Z,2023-10-26,New Orleans Pelicans at Memphis Grizzlies,NO @ MEM,2,Regular Season,Standard,post,Final,True,False,FedExForum,29,Memphis Grizzlies,MEM,104.0,3,New Orleans Pelicans,NO,111.0,0.0,-7.0,29,2024
401584700,2023-10-26T01:00Z,2023-10-26,Sacramento Kings at Utah Jazz,SAC @ UTAH,2,Regular Season,Standard,post,Final,True,False,Delta Center,26,Utah Jazz,UTAH,114.0,23,Sacramento Kings,SAC,130.0,0.0,-16.0,23,2024
401584701,2023-10-26T01:30Z,2023-10-26,Dallas Mavericks at San Antonio Spurs,DAL @ SA,2,Regular Season,Standard,post,Final,True,False,Frost Bank Center,24,San Antonio Spurs,SA,119.0,6,Dallas Mavericks,DAL,126.0,0.0,-7.0,6,2024
401584702,2023-10-26T02:30Z,2023-10-26,Portland Trail Blazers at LA Clippers,POR @ LAC,2,Regular Season,Standard,post,Final,True,False,crypto.com Arena,12,LA Clippers,LAC,123.0,22,Portland Trail Blazers,POR,111.0,1.0,12.0,12,2024
401584703,2023-10-26T23:30Z,2023-10-26,Philadelphia 76ers at Milwaukee Bucks,PHI @ MIL,2,Regular Season,Standard,post,Final,True,False,Fiserv Forum,15,Milwaukee Bucks,MIL,118.0,20,Philadelphia 76ers,PHI,117.0,1.0,1.0,15,2024
401584704,2023-10-27T02:00Z,2023-10-27,Phoenix Suns at Los Angeles Lakers,PHX @ LAL,2,Regular Season,Standard,post,Final,True,False,crypto.com Arena,13,Los Angeles Lakers,LAL,100.0,21,Phoenix Suns,PHX,95.0,1.0,5.0,13,2024
401584705,2023-10-27T23:00Z,2023-10-27,Detroit Pistons at Charlotte Hornets,DET @ CHA,2,Regular Season,Standard,post,Final,True,False,Spectrum Center,30,Charlotte Hornets,CHA,99.0,8,Detroit Pistons,DET,111.0,0.0,-12.0,30,2024
