team,player_id,player,position,game_type,games,goals_per_game,assists_per_game,points_per_game,shots_per_game,hits_per_game,blocks_per_game,toi_minutes_per_game,last5_goals_per_game,last5_points_per_game,last5_shots_per_game,last10_goals_per_game,last10_points_per_game,last10_shots_per_game
CAR,8473533,Jordan Staal,C,2,75,0.26666666666666666,0.21333333333333335,0.48,1.4266666666666667,0.0,0.0,16.18755555555555,0.2,0.8,1.8,0.4,0.7,1.7
CAR,8473533,Jordan Staal,C,3,13,0.15384615384615385,0.23076923076923078,0.38461538461538464,1.3846153846153846,0.0,0.0,17.817948717948717,0.2,0.2,0.8,0.2,0.4,1.1
CAR,8475235,Nicolas Deslauriers,L,2,31,0.0,0.06451612903225806,0.06451612903225806,0.5806451612903226,0.0,0.0,8.547311827956989,0.0,0.2,1.0,0.0,0.1,0.6
CAR,8475235,Nicolas Deslauriers,L,3,1,0.0,0.0,0.0,1.0,0.0,0.0,3.15,0.0,0.0,1.0,0.0,0.0,1.0
CAR,8475791,Taylor Hall,L,2,80,0.225,0.375,0.6,1.7125,0.0,0.0,14.529583333333335,0.6,1.2,2.0,0.3,1.0,1.9
CAR,8475791,Taylor Hall,L,3,13,0.38461538461538464,0.8461538461538461,1.2307692307692308,2.8461538461538463,0.0,0.0,16.371794871794876,0.4,0.8,2.8,0.4,1.1,2.5
CAR,8475883,Frederik Andersen,G,2,35,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,60.053333333333335,0.0,0.0,0.0,0.0,0.0,0.0
CAR,8475883,Frederik Andersen,G,3,13,0.0,0.0,0.0,0.0,0.0,0.0,65.54871794871795,0.0,0.0,0.0,0.0,0.0,0.0
CAR,8476422,Mike Reilly,D,2,42,0.023809523809523808,0.19047619047619047,0.21428571428571427,1.5,0.0,0.0,14.96547619047619,0.0,0.0,1.4,0.0,0.1,1.3
CAR,8476422,Mike Reilly,D,3,2,0.0,1.0,1.0,1.0,0.0,0.0,12.908333333333333,0.0,1.0,1.0,0.0,1.0,1.0
CAR,8476873,Mark Jankowski,L,2,68,0.16176470588235295,0.14705882352941177,0.3088235294117647,0.9264705882352942,0.0,0.0,11.151225490196078,0.6,0.6,1.2,0.3,0.4,0.9
CAR,8476873,Mark Jankowski,L,3,13,0.0,0.3076923076923077,0.3076923076923077,0.8461538461538461,0.0,0.0,12.079487179487181,0.0,0.6,1.2,0.0,0.4,1.0
CAR,8476906,Shayne Gostisbehere,D,2,55,0.23636363636363636,0.6727272727272727,0.9090909090909091,2.109090909090909,0.0,0.0,19.23242424242424,0.0,0.6,1.4,0.2,0.7,1.8
CAR,8476906,Shayne Gostisbehere,D,3,13,0.15384615384615385,0.3076923076923077,0.46153846153846156,1.5384615384615385,0.0,0.0,18.883333333333336,0.4,0.8,1.0,0.2,0.6,1.8
CAR,8476921,Jordan Martinook,L,2,77,0.15584415584415584,0.22077922077922077,0.37662337662337664,1.4155844155844155,0.0,0.0,14.83593073593074,0.0,0.6,0.8,0.2,0.6,1.2
CAR,8476921,Jordan Martinook,L,3,13,0.07692307692307693,0.15384615384615385,0.23076923076923078,2.076923076923077,0.0,0.0,16.07820512820513,0.0,0.0,1.8,0.0,0.2,1.6
CAR,8476958,Jaccob Slavin,D,2,39,0.02564102564102564,0.1794871794871795,0.20512820512820512,1.6153846153846154,0.0,0.0,21.310256410256404,0.2,0.6,1.6,0.1,0.4,1.8
CAR,8476958,Jaccob Slavin,D,3,13,0.0,0.15384615384615385,0.15384615384615385,1.4615384615384615,0.0,0.0,23.221794871794877,0.0,0.2,0.8,0.0,0.2,1.5
CAR,8477478,William Carrier,L,2,70,0.1,0.15714285714285714,0.2571428571428571,1.1428571428571428,0.0,0.0,10.753809523809524,0.2,0.8,1.2,0.1,0.4,0.9
CAR,8477478,William Carrier,L,3,13,0.0,0.23076923076923078,0.23076923076923078,0.9230769230769231,0.0,0.0,10.403846153846152,0.0,0.6,1.2,0.0,0.3,1.0
CAR,8477940,Nikolaj Ehlers,L,2,82,0.3170731707317073,0.5487804878048781,0.8658536585365854,2.524390243902439,0.0,0.0,16.59573170731707,0.4,1.2,3.0,0.3,1.0,2.7
CAR,8477940,Nikolaj Ehlers,L,3,12,0.3333333333333333,0.4166666666666667,0.75,2.0833333333333335,0.0,0.0,19.04861111111111,0.4,1.0,2.2,0.4,0.8,1.9
CAR,8478427,Sebastian Aho,C,2,79,0.34177215189873417,0.6708860759493671,1.0126582278481013,2.4683544303797467,0.0,0.0,19.612447257383966,0.4,1.0,3.4,0.3,0.9,2.9
CAR,8478427,Sebastian Aho,C,3,13,0.3076923076923077,0.23076923076923078,0.5384615384615384,2.0,0.0,0.0,21.075641025641026,0.2,0.6,2.4,0.3,0.6,2.1
CAR,8478970,Jalen Chatfield,D,2,72,0.027777777777777776,0.20833333333333334,0.2361111111111111,1.3888888888888888,0.0,0.0,20.13912037037037,0.0,0.0,1.4,0.1,0.2,1.4
CAR,8478970,Jalen Chatfield,D,3,13,0.07692307692307693,0.3076923076923077,0.38461538461538464,1.7692307692307692,0.0,0.0,22.20641025641026,0.0,0.6,1.6,0.1,0.5,1.8
CAR,8480336,Sean Walker,D,2,81,0.1111111111111111,0.2716049382716049,0.38271604938271603,2.2098765432098766,0.0,0.0,21.812139917695475,0.4,1.2,2.2,0.2,0.8,2.4
CAR,8480336,Sean Walker,D,3,13,0.0,0.15384615384615385,0.15384615384615385,1.6153846153846154,0.0,0.0,22.064102564102562,0.0,0.0,1.4,0.0,0.2,1.7
CAR,8480762,Eric Robinson,L,2,67,0.1791044776119403,0.08955223880597014,0.26865671641791045,1.2537313432835822,0.0,0.0,11.427860696517412,0.0,0.0,1.4,0.0,0.0,0.9
CAR,8480762,Eric Robinson,L,3,13,0.23076923076923078,0.23076923076923078,0.46153846153846156,1.5384615384615385,0.0,0.0,10.482051282051284,0.6,0.8,1.4,0.3,0.5,1.9
CAR,8480817,K'Andre Miller,D,2,72,0.1111111111111111,0.4027777777777778,0.5138888888888888,1.7083333333333333,0.0,0.0,22.392824074074074,0.4,0.8,2.2,0.2,0.5,2.1
CAR,8480817,K'Andre Miller,D,3,13,0.0,0.6153846153846154,0.6153846153846154,1.1538461538461537,0.0,0.0,23.923076923076923,0.0,0.4,1.6,0.0,0.6,1.3
CAR,8480829,Jesperi Kotkaniemi,C,2,42,0.047619047619047616,0.16666666666666666,0.21428571428571427,1.0,0.0,0.0,11.35079365079365,0.0,0.0,0.8,0.0,0.1,0.6
CAR,8480830,Andrei Svechnikov,R,2,79,0.3924050632911392,0.4936708860759494,0.8860759493670886,2.569620253164557,0.0,0.0,16.985021097046417,0.8,1.2,3.4,0.6,1.1,2.9
CAR,8480830,Andrei Svechnikov,R,3,13,0.23076923076923078,0.3076923076923077,0.5384615384615384,3.3076923076923075,0.0,0.0,18.02051282051282,0.4,0.8,3.4,0.3,0.7,2.8
CAR,8481611,Pyotr Kochetkov,G,2,9,0.0,0.0,0.0,0.0,0.0,0.0,54.46111111111111,0.0,0.0,0.0,0.0,0.0,0.0
CAR,8482093,Seth Jarvis,R,2,71,0.4507042253521127,0.4788732394366197,0.9295774647887324,3.1549295774647885,0.0,0.0,18.87957746478873,0.4,0.8,2.8,0.4,1.0,3.2
CAR,8482093,Seth Jarvis,R,3,13,0.23076923076923078,0.38461538461538464,0.6153846153846154,2.5384615384615383,0.0,0.0,20.17051282051282,0.4,0.8,3.0,0.3,0.8,2.9
CAR,8482100,Alexander Nikishin,D,2,81,0.13580246913580246,0.2716049382716049,0.4074074074074074,1.5061728395061729,0.0,0.0,18.184362139917695,0.0,0.6,0.6,0.1,0.4,0.8
CAR,8482100,Alexander Nikishin,D,3,11,0.0,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.0,0.0,15.253030303030306,0.0,0.2,1.2,0.0,0.1,0.7
CAR,8482702,Logan Stankoven,C,2,81,0.25925925925925924,0.2839506172839506,0.5432098765432098,2.049382716049383,0.0,0.0,15.450205761316875,0.8,1.4,2.4,0.7,1.1,2.8
CAR,8482702,Logan Stankoven,C,3,13,0.6923076923076923,0.23076923076923078,0.9230769230769231,3.5384615384615383,0.0,0.0,16.884615384615383,0.4,0.8,3.0,0.6,0.8,3.1
CAR,8482809,Jackson Blake,R,2,81,0.2716049382716049,0.38271604938271603,0.654320987654321,2.1481481481481484,0.0,0.0,16.49917695473251,0.0,1.2,1.8,0.2,0.9,2.0
CAR,8482809,Jackson Blake,R,3,13,0.38461538461538464,0.7692307692307693,1.1538461538461537,2.3846153846153846,0.0,0.0,18.247435897435896,0.2,0.8,2.6,0.4,1.1,2.4
CAR,8483548,Brandon Bussi,G,2,39,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,60.53376068376068,0.0,0.0,0.0,0.0,0.0,0.0
VGK,8475188,Brayden McNabb,D,2,63,0.07936507936507936,0.1111111111111111,0.19047619047619047,1.2857142857142858,0.0,0.0,20.52328042328042,0.2,0.4,1.2,0.1,0.4,1.6
VGK,8475188,Brayden McNabb,D,3,15,0.06666666666666667,0.2,0.26666666666666666,1.2,0.0,0.0,20.86,0.0,0.2,0.4,0.1,0.3,1.0
VGK,8475191,Reilly Smith,R,2,69,0.2318840579710145,0.14492753623188406,0.37681159420289856,1.3768115942028984,0.0,0.0,13.683333333333334,0.8,1.0,3.2,0.5,0.6,2.1
VGK,8475191,Reilly Smith,R,3,6,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,0.0,12.997222222222225,0.0,0.4,1.0,0.0,0.3333333333333333,1.6666666666666667
VGK,8475343,Nic Dowd,C,2,75,0.06666666666666667,0.21333333333333335,0.28,0.88,0.0,0.0,14.541999999999998,0.0,0.4,1.0,0.1,0.4,1.0
VGK,8475343,Nic Dowd,C,3,16,0.1875,0.0625,0.25,1.25,0.0,0.0,13.430208333333333,0.2,0.4,1.0,0.1,0.2,0.9
VGK,8475913,Mark Stone,R,2,60,0.4666666666666667,0.75,1.2166666666666666,2.1666666666666665,0.0,0.0,19.215,0.8,1.2,2.6,0.7,1.1,2.4
VGK,8475913,Mark Stone,R,3,11,0.45454545454545453,0.45454545454545453,0.9090909090909091,2.090909090909091,0.0,0.0,18.766666666666666,0.6,1.0,1.6,0.4,0.9,1.9
VGK,8476438,Brandon Saad,L,2,49,0.061224489795918366,0.12244897959183673,0.1836734693877551,1.5918367346938775,0.0,0.0,13.385034013605443,0.0,0.2,1.4,0.1,0.2,1.4
VGK,8476438,Brandon Saad,L,3,5,0.0,0.4,0.4,1.0,0.0,0.0,8.690000000000001,0.0,0.4,1.0,0.0,0.4,1.0
VGK,8476448,William Karlsson,C,2,14,0.2857142857142857,0.21428571428571427,0.5,2.142857142857143,0.0,0.0,15.146428571428572,0.0,0.4,2.0,0.4,0.6,2.0
VGK,8476448,William Karlsson,C,3,10,0.1,0.4,0.5,1.6,0.0,0.0,17.106666666666666,0.2,0.6,1.8,0.1,0.5,1.6
VGK,8476881,Tomas Hertl,C,2,82,0.2926829268292683,0.4146341463414634,0.7073170731707317,2.4634146341463414,0.0,0.0,17.033943089430895,0.0,0.6,2.0,0.0,0.4,2.3
