team,line,players,player_count,expected_count,GP_avg,G_per_gp,A_per_gp,PTS_per_gp,SOG_per_gp,HIT_per_gp,BLK_per_gp,TOI_per_gp,ixG_per_gp,xGF_per_gp,xGA_per_gp,GF_onice_per_gp,GA_onice_per_gp,last10_G_per_gp,last10_PTS_per_gp,last10_SOG_per_gp,current_game_type,current_GP_avg,current_G_per_gp,current_A_per_gp,current_PTS_per_gp,current_SOG_per_gp,current_HIT_per_gp,current_BLK_per_gp,current_TOI_per_gp,current_ixG_per_gp,current_xGF_per_gp,current_xGA_per_gp,current_GF_onice_per_gp,current_GA_onice_per_gp,current_last10_G_per_gp,current_last10_PTS_per_gp,current_last10_SOG_per_gp
MTL,D1,Mike Matheson / Alexandre Carrier,2,2,75.5,0.186,0.59,0.776,2.229,0.0,0.0,43.247,0.091,0.692,0.794,0.774,0.747,0.1,0.5,1.1,3,14.0,0.143,0.429,0.571,1.571,0.0,0.0,47.531,0.091,0.56,0.794,0.5,0.571,0.2,0.6,1.4
MTL,D2,Lane Hutson / Noah Dobson,2,2,81.0,0.296,1.242,1.539,3.487,0.0,0.0,46.255,0.15,0.796,0.795,0.998,0.735,0.1,0.8,1.9,3,11.0,0.143,0.982,1.125,3.411,0.0,0.0,47.662,0.106,0.815,0.923,0.812,0.768,0.0,1.125,3.025
MTL,D3,Jayden Struble / Kaiden Guhle,2,2,49.0,0.085,0.4,0.485,1.466,0.0,0.0,33.481,0.074,0.594,0.672,0.579,0.549,0.1,0.2,1.7,3,10.5,0.0,0.429,0.429,1.286,0.0,0.0,31.799,0.048,0.549,0.508,0.714,0.393,0.0,0.5,1.229
MTL,F1,Cole Caufield / Nick Suzuki / Juraj Slafkovský,3,3,81.667,1.349,1.859,3.208,7.612,0.0,0.0,57.541,0.535,0.657,0.62,0.82,0.486,1.3,3.4,8.9,3,14.0,0.857,1.357,2.214,7.214,0.0,0.0,61.445,0.359,0.446,0.581,0.19,0.714,0.8,2.0,7.6
MTL,F2,Alex Newhook / Jake Evans / Ivan Demidov,3,3,64.0,0.718,0.987,1.704,4.104,0.0,0.0,45.338,0.347,0.432,0.52,0.563,0.518,0.6,1.1,4.3,3,14.0,0.786,0.929,1.714,5.357,0.0,0.0,49.649,0.411,0.472,0.436,0.571,0.19,1.1,2.2,6.3
MTL,F3,Alexandre Texier / Phillip Danault / Josh Anderson,3,3,66.0,0.431,0.527,0.958,3.9,0.0,0.0,43.243,0.38,0.461,0.534,0.424,0.434,0.2,0.3,3.3,3,14.0,0.5,0.786,1.286,3.714,0.0,0.0,44.761,0.396,0.462,0.671,0.667,0.333,0.4,1.2,3.7
MTL,F4,Zachary Bolduc / Oliver Kapanen / Kirby Dach,3,3,65.667,0.638,0.603,1.241,4.163,0.0,0.0,41.763,0.423,0.457,0.532,0.564,0.551,0.2,0.6,2.7,3,11.0,0.5,0.357,0.857,3.086,0.0,0.0,29.803,0.342,0.38,0.356,0.405,0.238,0.5,0.7,3.0
CAR,D1,Jaccob Slavin / Jalen Chatfield,2,2,55.5,0.053,0.388,0.441,3.004,0.0,0.0,41.449,0.105,0.782,0.679,0.743,0.682,0.2,0.6,3.2,3,8.0,0.125,0.25,0.375,3.75,0.0,0.0,47.085,0.089,0.864,0.684,0.25,0.312,0.125,0.375,3.75
CAR,D2,K'Andre Miller / Sean Walker,2,2,76.5,0.222,0.674,0.897,3.918,0.0,0.0,44.205,0.156,0.922,0.68,0.812,0.832,0.4,1.3,4.5,3,8.0,0.0,1.0,1.0,2.625,0.0,0.0,46.054,0.122,0.992,0.699,1.125,0.188,0.0,1.0,2.625
CAR,D3,Shayne Gostisbehere / Alexander Nikishin,2,2,68.0,0.372,0.944,1.316,3.615,0.0,0.0,37.417,0.136,0.792,0.611,0.779,0.584,0.3,1.1,2.6,3,7.0,0.0,0.25,0.25,2.208,0.0,0.0,35.113,0.054,0.707,0.572,0.542,0.208,0.0,0.25,2.208
CAR,F1,Andrei Svechnikov / Sebastian Aho / Seth Jarvis,3,3,76.333,1.185,1.643,2.828,8.193,0.0,0.0,55.477,0.608,0.694,0.556,0.636,0.611,1.3,3.0,9.0,3,8.0,0.625,0.75,1.375,7.25,0.0,0.0,61.779,0.389,0.478,0.588,0.167,0.167,0.625,1.375,7.25
CAR,F2,Taylor Hall / Logan Stankoven / Jackson Blake,3,3,80.667,0.756,1.042,1.798,5.91,0.0,0.0,46.479,0.624,0.735,0.531,0.632,0.508,1.2,3.0,6.7,3,8.0,1.75,2.125,3.875,9.0,0.0,0.0,51.202,0.968,0.983,0.455,1.292,0.167,1.75,3.875,9.0
CAR,F3,Nikolaj Ehlers / Jordan Staal / Jordan Martinook,3,3,78.0,0.74,0.983,1.722,5.367,0.0,0.0,47.619,0.471,0.606,0.483,0.579,0.543,0.9,2.3,5.6,3,7.667,0.536,0.911,1.446,6.0,0.0,0.0,55.051,0.544,0.704,0.582,0.393,0.304,0.536,1.446,6.0
CAR,F4,William Carrier / Mark Jankowski / Eric Robinson,3,3,68.333,0.441,0.394,0.835,3.323,0.0,0.0,33.333,0.444,0.492,0.349,0.429,0.331,0.4,0.8,2.7,3,8.0,0.0,0.375,0.375,3.0,0.0,0.0,32.373,0.375,0.388,0.331,0.125,0.125,0.0,0.375,3.0
